"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Liechtenstein","Switzerland","Spain","Portugal","Germany","Poland","Austria","Hungary","Czechoslovakia","Italy","San Marino","Malta","Albania","Croatia","Yugoslavia","Bosnia and Herzegovina","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Marshall Islands","Federated States of Micronesia","Samoa"
"Paraguay",153.7521,1.2791,8.78,0.0264,0,0.003,0.0011,0.4822,0.0428,9,0,9,0,9,9,6.4867,0.009,0.2434,0.437,1.1014,0,0.1028,17.9334,0.132,2.4981,0,0,6.8777,26.5661,83.424,0.391,0,22.4543,156.0094,1.3654,57.5047,1.4675,23.2006,14.0765,0.8935,10.3474,0,6.2854,14.8088,33.3689,28.074,1.7523,0.0693,0.3279,2.0988,27.0193,0,0.0141,0,0,0.011,0,0,1.5516,0.0089,0.0231,0,0.3872,0,0,0,0,0,9.068,0,0,0,0.0253,4.036,0.1885,0.918,2.081,0,9,0,0,9,9.09,0.0967,0,0,9,0.025,0,0.0023,0,0,0.0069,0,0,0.042,0.055,0,0,0.034,0,9,0,0,0,9,9,9,0,0,0,0,0.0303,0,3.8738,0.0374,0,0,0,0,9,0,9,0.023,27.7486,0.103,0,0,0,1.1805,0,0.072,0,0.0229,0.0005,1.1278,0.0447,9,0,0,0,0,0,0.0297,0,0,0,0,0,14.076,9,50.7498,0,39.3645,138.1813,2.457,0,0.393,0.0704,0,0,0,0,1.6749,0,0,0,0.3685,5.1053,0,0.0539,2.0049,0.0756,0,0.202,0,0,0,0,0,9
"Chile",357.55,2.0879,1.1859,4.3603,0.0989,11.7805,0.3752,10.2664,0.3796,0.008,0,0.0859,0.0223,0,9,73.196,0.0026,0.321,3.167,0.239,1.5,14.05,4.4881,27.727,55.7432,0.78,0.2773,103.7172,121.5388,470.0159,61.2914,22.4543,0,5.49,15.461,175.9396,14.5209,81.1895,8.303,0.527,320.6474,0,74.656,237.7284,44.0261,170.3362,16.9,2.9618,0.5,10.1788,198.9719,0,0.9107,0.315,0,26.3146,0,0,11.4688,1.1558,0.84,0,4.1075,17.9,0,0,0,0,14.064,0,0,0,26.2496,13.0434,2.0199,20.1134,2.1173,0,0,0,0,0.0437,9,0.3091,0,0.601,0.9596,0.2054,0.1881,0.0003,0.0693,0.0726,0.219,0.0644,0.196,323.8693,169.1826,0,0,0,0.11,0,36.421,0.0226,0.143,0,0,0.5407,0,15.33,0,0.0374,1.4734,0,5.9,1.718,0.585,0.014,9.019,9.149,9,6.889,40.945,9.373,0.358,12.3209,0.372,0.0216,62.533,25.346,0,16.474,0.27,0.7548,0.166,21.46,29.4701,3.4698,1.2882,4.2695,3.453,23.43,3.6378,1.064,0,0,0,0,0,262.902,0.009,330.72,19.5277,116.52,894.9046,3.7324,9.061,6.2234,2.681,1.0945,3.718,9,0.046,24.1493,0,9.012,0.185,22.2066,103.4526,0,29.326,94.9791,14.8792,6.5439,11.547,5.495,16.1853,0.038,0,0,1.6
"Argentina",1856,33.6247,0.8722,67.201,0,32.7571,1.0345,8.4852,0.98,0,0,0.3204,0.3059,0.199,0,63.7811,0.116,48.5047,2.4,6.788,4.2,4.921,149.9272,101.293,222.6373,0.3124,0.2202,36.1514,166.4224,1445.037,42.3067,156.0094,5.49,0,5.391,22.707,3.7032,254.5331,129.5186,8.2214,92.5809,0,74.4079,227.7047,117.7491,86.0544,6.1722,5.5965,1.689,70.2268,148.9583,0,3.2849,0.1771,0,7.2981,0,0,47.2736,5.0526,16.455,0,53.5385,49.8,0,9,0,0,0.724,0,0,0,17.1418,57.5622,45.0471,156.7947,17.1855,0,0,0,0,0,0,1.0143,0.0529,0,0.1554,0.2205,0.6633,0.106,0.5401,0,1.477,0,0.719,49.571,3.4507,0.1321,0,0.1889,1.5673,0,9.1647,9.6932,0,0.08,0,9,0,16.4175,22.58,0.0255,194.7639,0.4917,137.018,0,0,0,0,0.1588,0,17.0273,0,34.8373,11.422,50.7161,14.4998,0.748,323.586,110.733,0,82.695,24.2093,4.5188,21.678,1.735,12.5537,0.0702,36.7,4.1404,7.0879,16.572,3.7947,0,0,0,0,0,0,29.72,0,0,0,352.29,182.6293,2.7056,0.144,16.4039,7.9392,0,3.961,0,1.6445,33.1142,0,0,0.947,79.189,118.4913,0.262,5.684,113.9108,21.7569,0,32.801,0,0,0.012,0,0,0
"Uruguay",93.646,6.3541,0.297,1.3949,0.013,3.3114,0.2397,0.053,0.329,0.142,0.003,0,0,9,0.065,12.8645,0.0681,0.2182,0.156,0.328,0.012,0.751,15.3096,25.406,13.6148,0,0.118,1.9289,14.5331,100.0179,2.2805,1.3654,15.461,5.391,0,49.2316,0.1559,17.4344,7.2122,0.4578,4.0243,0,15.9083,8.7655,3.0331,61.8084,2.7882,11.1463,0.28,1.8237,14.1528,0,0.1428,9,0,0,0,0,2.2005,0.8675,0.026,9,2.189,3.299,0,0.0421,9,0,0.682,9,9,9,0.9067,9.0683,2.6441,0.2258,0.013,0,0,9,9,0,9,0,9,0,0,0.002,0,0.217,0.005,0,0.019,0.017,0,35.988,0.4092,9,9,0.2947,0.3707,0,0.0641,0,0,0,9,0,9,0,0,0,0.063,0,3.092,0,0,0,0,0,0,0.001,0,2.625,1.719,0.1979,1.485,0,58.897,1.067,0.008,5.312,9,0.187,0.047,47.22,10.2275,0.067,0.197,0.0462,0,10.944,0,0,0,0,0,0,9,83.51,9,16.15,0.508,111.469,70.7751,0.5818,9,0.3991,1.982,9,1.033,0,0.0693,0.1349,0,0,1.152,2.418,2.597,0,0.152,0.8614,28.0018,0.029,1.137,0,0,9,0,0,0
"United Kingdom",3582.371,410.8909,22.4269,40.2036,12.2356,2.2599,141.798,49.4931,7.724,22.0905,4.5783,51.0895,24.1734,24.6128,0.5789,411.4264,32.9711,15.2224,11.9019,5.4174,1.9515,2.2337,5.0023,70.0255,1.8688,93.9034,13.5573,2.3196,93.1848,1116.2822,8.9513,57.5047,175.9396,22.707,49.2316,0,653.3956,6003.16,451.6602,28.6698,3108.508,0,3149.5991,1964.3916,97.7976,5554.978,381.7851,197.2311,113.7344,5.2684,1170.647,0,211.2302,4.7751,0,16.2913,0,0,623.314,113.1435,8.6636,0.5,85.0512,1724.3,8.005,25.8872,88.6628,0,6.29,0,0,103.4015,1107.6637,1529.606,4317.3982,1393.4306,278.9036,0,2.1194,2.0394,2.5888,33.2644,18.0238,16.7349,16.5552,16.1737,6.1322,42.0729,14.8291,7.0062,9.2841,12.7102,221.0136,8.0386,39.0234,907.7684,31.8282,0.7447,0.3685,8.8222,27.2627,35.0119,34.5025,115.0659,2.2042,2.4633,6.4229,49.9048,26.6599,126.9472,40.9858,85.6823,97.1997,7.1022,324.6349,17.614,2.6248,14.2132,65.9017,12.3552,0.1791,359.0923,19.8419,15.9379,193.7387,33.8446,147.9731,92.8442,1382.4647,384.6574,66.7593,119.2138,8.4576,158.13,122.777,509.2631,1768.3735,46.3427,134.1418,233.7763,207.3899,760.3046,174.2373,1.2881,0,0,8.4,0,0,664.5988,2.1512,1491.9817,13.6418,283.1512,8228.4363,119.8849,24.03,73.4527,33.1913,8.8199,13.9262,6.8537,1.8149,180.8225,2.3709,0.8443,16.9457,573.1561,77.7307,81.2031,123.2271,220.0791,762.4279,59.7373,175.2521,0.282,9.068,119.264,0,0,1.0789
"Ireland",851.4553,256.1705,0.2092,1.5462,1.6102,0.762,1.4817,13.3804,2.7518,0.3071,0.7186,0.8297,0.0922,0.3088,0.0156,184.8187,0.8753,4.9194,0.1924,1.563,4.215,2.3076,5.6601,56.8168,11.1855,1.0552,0.075,8.9721,7.5828,30.3711,1.2681,1.4675,14.5209,3.7032,0.1559,653.3956,0,441.8315,327.7741,20.8059,1679.4835,0,283.5367,674.4627,26.0292,2067.7744,45.0584,167.9889,9.6927,2.4383,813.4592,0,19.7255,0.0887,0,10.3692,0,0,121.6481,11.4036,3.2963,0,5.856,84.4,0.3972,4.6753,0.184,0.2295,1.195,0.0104,9,4.8387,11.0271,52.5352,125.1815,36.7005,5.7727,0,0.158,0,0.0007,0.5125,22.2425,0.5361,0.5818,2.4465,0.2652,7.5625,77.7887,1,1.9714,0.8551,26.1667,0.428,7.6285,52.8075,4.4496,1.5134,3.4177,2.3801,13.631,2.2081,13.2373,1.8074,0.3186,0.257,0.517,1.2959,5.586,7.2342,7.1667,0.0893,2.1782,0.6187,44.5131,0.3008,0.0409,0.718,1.77,0.9922,0.0298,1.5537,0.2962,23.9821,7.3802,2.2769,20.46,2.6671,21.4319,14.7353,4.6431,40.2272,2.0335,17.4951,7.4218,8.719,136.7628,3.8924,21.8765,10.1423,5.3992,32.4128,5.9358,1.126,0,9.0015,0,0,0,127.0819,0.0022,108.0827,21.3321,7.8694,45.5401,23.8659,9,7.232,3.8899,0.2824,3.5242,0.1457,1.0546,14.1173,0.0312,0.3416,1.6107,15.4295,104.1241,0.8017,10.5562,19.4695,178.2299,0.6397,33.8341,0.0214,0.0128,0.0105,0,0,0.0012
"Netherlands",4394.7329,173.2847,70.7504,23.642,10.9168,9.6172,24.7838,14.6434,4.3302,1.803,1.1696,3.2705,2.0225,1.3931,0.8565,142.7833,8.3287,0.2675,9.2756,9.038,1.9611,29.9022,7.0278,86.8322,116.9253,1.2123,92.4213,1.0766,36.7161,589.1228,3.3589,23.2006,81.1895,254.5331,17.4344,6003.16,441.8315,0,2704.061,171.6431,1763.233,0,1080.6659,1363.6602,1319.1495,5587.641,228.3837,229.1064,139.7809,109.175,6300.9132,0,59.9886,4.9645,0,151.1485,0,0,1365.7398,62.3643,26.1701,3.7,93.3841,1909.6,0.6274,9.0571,0.2574,13.0915,19.589,0.3598,1.4666,2.6617,424.2269,636.3701,627.6471,731.3015,94.2645,0,0.0214,7.4871,0.5819,17.9902,14.4506,19.9873,37.8295,12.1062,9.7487,170.5946,34.768,18.1339,11.0128,3.6245,9.9737,51.3994,137.9011,133.4535,50.5952,0.6606,1.6149,7.9672,34.8453,22.2474,18.3117,17.866,0.6598,7.5899,3.5517,16.9184,30.0719,56.9052,21.2052,14.5498,22.2451,13.9739,147.5796,5.3095,0.0267,7.6247,0.8555,6.0519,2.4046,23.7957,3.7031,81.4123,490.3365,48.6005,110.195,32.0935,738.9752,223.2804,18.7747,197.7586,95.5559,87.9219,59.4197,258.1316,1721.688,111.3003,196.3688,45.4922,27.0732,127.3436,115.3383,2.0975,4.5004,1.1085,1,1.2915,10.3799,426.2296,1.266,543.7759,4.9792,4.7504,3470.9663,33.8585,0,77.0672,8.0431,15.7975,56.0504,0.8199,0.5823,233.0178,0.0913,6.1434,1.8952,151.1802,106.1062,34.2781,16.9649,144.1564,76.3911,18.1925,49.7799,0.2135,5.1339,2.9817,0,0,0.2196
"Belgium",607.2158,185.7211,2.1533,18.1762,3.9211,34.5095,6.9677,3.9023,1.2412,0.0376,0.536,0.8839,0.2445,0.1975,0.0376,56.0332,0.1316,23.1787,11.989,7.6353,1.655,6.4693,24.0344,9.516,92.1035,4.7768,3.5074,6.7608,11.2179,417.5363,3.592,14.0765,8.303,129.5186,7.2122,451.6602,327.7741,2704.061,0,0,35.92,0,341.4281,1804.7041,593.9009,1140.42,306.5889,691.8908,23.9215,28.9992,3276.9795,0,8.3218,47.8337,0,22.4358,0,0,617.5689,27.5135,53.9269,1.1284,26.4792,549.1425,0,37.2082,0,0,2.4448,0,0,1.3352,33.7948,719.978,810.0696,327.3131,3.4791,4.5793,0.1975,1.9558,1.8618,102.7668,9.8639,27.0528,4.4947,13.1832,5.3504,96.777,48.5201,10.4939,287.6698,170.9582,13.2866,7.7576,23.5924,184.2166,1.5327,67.1853,0.9215,292.4278,428.2935,6.5164,31.8202,16.0135,5.8111,28.971,4.3536,8.0303,11.6411,186.2289,11.7069,56.4846,5.3692,1.2788,369.1572,22.8496,11.0675,2.6329,2.8115,1.7584,2.8397,0.1598,3.3005,7.8798,263.6918,28.2093,118.028,13.2302,14.2082,278.3137,10.3717,91.6147,91.4642,108.3239,65.2013,1513.9972,100.9425,82.992,52.8268,6.1402,27.8144,41.7593,23.0471,9.7604,0,0,0.2821,0,0,69.3857,2.0969,153.24,0.1599,186.2101,1409.6131,1085.6377,9,27.4947,49.1313,4.9837,50.3349,0.2351,4.758,17.1607,0.3385,0.7711,17.1889,46.8181,218.4816,8.1619,46.5079,63.8566,39.5495,2.0499,28.5197,0.0376,0.2257,2.7551,0,0,0.1599
"Luxembourg",38.5439,11.7889,0.1367,1.1538,0.2489,2.1905,0.4423,0.2477,0.0788,0.0024,0.034,0.0561,0.0155,0.0125,0.0024,3.5568,0.0084,1.4713,0.761,0.4847,0.1051,0.4106,1.5256,0.604,5.8464,0.3032,0.2226,0.4292,0.7121,26.5037,0.228,0.8935,0.527,8.2214,0.4578,28.6698,20.8059,171.6431,0,0,2.2801,0,21.6726,114.556,37.6987,72.3891,19.4611,43.9187,1.5184,1.8408,208.0106,0,0.5282,3.0363,0,1.4241,0,0,39.201,1.7465,3.4231,0.0716,1.6808,34.8575,0,2.3618,0,0,0.1552,0,0,0.0848,2.1452,45.7016,51.4203,20.7767,0.2208,0.2907,0.0125,0.1242,0.1182,6.5233,0.6261,1.7172,0.2853,0.8368,0.3396,6.143,3.0799,0.6661,18.2602,10.8518,0.8434,0.4924,1.4976,11.6934,0.0973,4.2647,0.0585,18.5622,27.1865,0.4136,2.0198,1.0165,0.3689,1.839,0.2764,0.5097,0.7389,11.8211,0.7431,3.5854,0.3408,0.0812,23.4327,1.4504,0.7025,0.1671,0.1785,0.1116,0.1803,0.0101,0.2095,0.5002,16.7382,1.7906,7.492,0.8398,0.9019,17.6663,0.6584,5.8154,5.8058,6.876,4.1387,96.103,6.4075,5.268,3.3532,0.3898,1.7656,2.6507,1.4629,0.6196,0,0,0.0179,0,0,4.4043,0.1331,2.8455,0.0101,11.8199,89.4771,68.9123,9,1.7453,3.1187,0.3163,3.1951,0.0149,0.302,1.0893,0.0215,0.0489,1.0911,2.9718,13.8684,0.5181,2.9521,4.0534,2.5105,0.1301,1.8103,0.0024,0.0143,0.1749,0,0,0.0101
"France",4841.133,897.0735,272.5363,55.1921,5.8364,30.4505,3.314,35.7276,7.96,2.498,0.354,11.5325,7.9349,1.3688,1.6051,734.629,0.4134,1.8789,5.9072,0.2606,0.3713,4.1824,5.7316,4.5059,103.8808,19.7145,84.016,0.9681,74.8732,1021.05,39.129,10.3474,320.6474,92.5809,4.0243,3108.508,1679.4835,1763.233,35.92,2.2801,0,0,1751.2334,2932.004,1192.4314,4292.219,17.3165,331.6157,81.895,103.1884,1796.48,0,11.83,109.6885,0,67.7445,0,0,1159.9158,230.6675,17.4316,1.4439,97.5968,205.6771,9.5255,49.6552,1.342,130.5403,6.779,7.2132,18.8493,20.3048,964.322,1001.6516,2024.2849,396.2476,108.4081,0,3.1633,6.3561,6.9807,23.0628,143.7021,212.0924,102.4954,113.3694,89.2782,264.2546,177.8253,88.9344,30.6121,5.1798,19.6199,185.368,112.4276,132.6767,243.8005,79.0791,89.1148,133.0855,16.2018,10.3931,26.0594,15.7208,18.9757,18.4799,12.5812,74.2623,6.8995,81.7655,93.8032,115.4054,8.2559,17.2361,11.717,17.1993,5.5289,9.6728,38.7008,9.2096,52.943,74.0116,0.8447,241.2793,220.7594,523.2195,335.3782,26.4073,276.2646,411.9017,22.8515,55.9828,294.54,307.6407,111.5656,83.0311,1193.232,24.9129,216.9788,126.8143,91.6291,632.473,109.2812,24.9323,19.322,6.6903,0.2799,14.2335,10.9833,2002.2692,1.3068,932.5233,5.052,30.616,4350.6284,84.6199,0,21.2626,129.3287,1.1166,90.7143,0.292,11.9378,72.6233,11.442,9.9785,69.7343,381.4288,512.4701,61.6586,60.0425,10.9647,242.3935,1.3091,37.0352,4.5454,1.3251,8.1054,0,0,1.1727
"Liechtenstein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland",1548.7144,335.668,17.8781,18.2306,1.5491,8.7149,6.1599,14.0475,3.3032,1.0326,1.0564,1.686,0.2522,1.0755,0.2538,514.5886,0.7986,12.2918,13.1562,10.005,0.1532,1.9432,113.377,91.8451,101.5027,0.2672,0.5749,34.7,39.6613,258.031,6.4819,6.2854,74.656,74.4079,15.9083,3149.5991,283.5367,1080.6659,341.4281,21.6726,1751.2334,0,0,628.2398,217.7818,5771.475,221.7318,401.2241,194.9602,157.9292,1881.3164,0,9.1601,9.0023,0,92.2567,0,0,321.3104,57.9774,84.3111,5.6,119.4594,268.0012,1.3623,1.751,3.4797,11.4374,51.8488,0.5357,0.2069,1.6905,35.3656,210.1251,54.1695,0.3818,16.7034,0,0.0292,0.281,0.025,0.9994,1.9779,3.3071,1.4077,0.7629,0.8503,1.7037,6.8793,2.5307,5.9945,3.4038,16.8797,3.5842,8.48,102.0268,1.3373,0.1347,0.7827,0.9224,9.3202,5.9447,9.2608,8.87,0.0185,12.97,0.0394,0.9318,22.9227,19.2781,4.8703,2.6001,24.2611,6.9558,147.1235,14.0676,0.8259,7.6317,0.8158,2.2861,0.1007,13.0996,0.6153,73.1162,49.8468,65.1916,183.5835,15.4481,712.7736,526.4771,15.7944,279.8118,27.5227,61.0215,34.7071,1096.0762,1348.9246,6.9792,124.5756,144.7464,23.2425,293.4453,35.1482,3.3554,0.156,0.3095,4,1.6366,0.8789,101.5978,4.7095,192.2624,6.6777,403.6082,351.4988,102.5176,0.1621,215.3505,12.4734,1.5436,13.8141,0.3849,21.3272,195.9303,0.401,0.125,31.3731,486.1126,600.4303,2.5712,56.4333,189.0652,440.2076,0.7698,55.5708,0.1811,0.083,1.6011,0,0,0.0044
"Spain",4169.519,177.3767,44.6989,134.9601,3.0764,53.6034,0.1113,38.2159,0.7324,0.1585,0.1995,0.16,2.8993,0.9492,0.1304,386.8854,2.3741,10.8568,33.3534,9.6696,0.317,12.7615,30.9678,79.3344,175.9811,1.1728,5.1893,9.9331,29.4943,812.0343,14.1565,14.8088,237.7284,227.7047,8.7655,1964.3916,674.4627,1363.6602,1804.7041,114.556,2932.004,0,628.2398,0,2327.4135,5365.896,5.1206,68.856,56.5679,111.4424,3477.0254,0,25.381,4.6982,0,30.3927,0,0,267.0284,48.0237,19.6996,0.2,42.6341,106,0.9124,1.2815,3.8757,7.2397,5.597,0.0001,0.0757,0.3513,479.2099,642.5206,159.8325,492.1677,67.786,0,0.1316,4.8116,2.5691,0.8962,8.6371,12.2665,1.9878,6.018,0.8278,92.4642,51.316,4.3883,215.2144,29.1133,26.9116,1.4316,280.8545,1164.6104,38.055,12.7665,2.3721,151.7591,13.9363,9.0829,13.2764,3.457,0.5885,109.0666,0.0201,2.5694,4.2637,282.7344,13.1329,0.2551,35.2261,8.3609,353.2368,23.0341,0.1953,0.464,2.27,2.883,0.6897,26.6138,1.8433,158.2987,192.408,73.4509,1200.8109,2.7922,38.9433,96.3282,0,255.7281,85.8312,81.0196,52.2206,48.9317,694.3666,3.2707,68.0382,19.9311,13.6695,203.7515,10.8497,1.215,0.031,0.0192,0.9,0.7301,0.3456,1265.8854,0.0857,985.245,40.0936,527.3284,3886.0364,215.9372,0.0177,110.621,39.6002,2.6182,21.6397,0.0498,0.7606,354.3734,0.4664,0.884,11.8925,243.1301,99.8258,2.0346,29.8084,215.4629,79.1914,32.0103,43.6221,1.6962,0,0.104,0,0,0
"Portugal",216.2918,4.1932,2.8828,25.8191,0.103,5.3148,2.7833,1.2927,0.4025,3.7515,0.0223,0.0459,0.0484,0.1121,0.7767,129.3456,0.165,9.6908,7.8601,0.4208,0.9417,11.708,9.3942,37.8912,33.5396,0.557,5.5193,11.5861,15.3282,323.5788,0.5698,33.3689,44.0261,117.7491,3.0331,97.7976,26.0292,1319.1495,593.9009,37.6987,1192.4314,0,217.7818,2327.4135,0,763.3889,9.7164,106.2023,1.5377,21.391,2407.7387,0,8.302,0.1079,0,3.9573,0,0,58.435,8.6868,0.9213,0,1.1029,58.302,2.2096,3.514,2.3216,3.7786,0.478,0,0.0671,0.0732,60.8896,308.1021,133.4833,142.9608,21.9635,0,12.2153,24.3239,1.8628,0.0634,6.1257,3.436,18.1813,0.2802,1.1365,16.0018,0.0549,13.3156,78.0069,0.1053,0.8508,1.724,36.672,388.5393,52.8936,0.1601,23.8757,52.572,20.0582,8.5465,5.8073,22.3142,0.2583,0.3498,0.0051,1.6673,2.5154,790.6888,0.6478,2.9287,7.321,2.2375,107.0216,1.5433,0.1898,0.4491,14.8604,5.9275,0.1188,8.6059,0.1094,28.3886,200.0931,3.2419,82.297,0.225,104.8989,25.8095,100.0261,258.2823,7.982,18.5456,1.2181,26.2391,145.5005,6.1027,7.369,1.9384,1.281,32.903,0.8035,0.0004,0.6599,0.0731,0.001,2.262,0.631,86.524,0.0107,126.5991,0.1463,56.3792,754.4846,55.8206,0,47.9535,2.3674,0.0049,3.2124,0.001,0.0232,118.1983,0.008,0,0.073,17.2542,27.6618,0.0955,10.2236,13.4728,219.4533,0.0178,14.5886,0.0058,0.4452,0.04,0,0,0
"Germany",2499.998,448.1396,7.4312,35.314,4.3353,21.5329,36.4285,12.0733,10.5681,1.1617,26.1817,2.4872,2.5383,6.4288,2.6246,2156.8409,1.5974,36.219,88.9279,26.6307,32.5621,115.2651,158.0772,386.8805,104.8505,1.7258,28.7405,154.8115,12.1333,1363.2507,63.8414,28.074,170.3362,86.0544,61.8084,5554.978,2067.7744,5587.641,1140.42,72.3891,4292.219,0,5771.475,5365.896,763.3889,0,1162.6265,5270.457,362.5491,1782.1137,3123.07,0,10.0567,19.1622,0,137.5391,0,0,2310.795,203.8201,169.9048,10.3,11.6736,852,46.471,42.4556,25.5089,391.513,46.292,3.9881,3.3729,4.6392,595.0151,148.874,2085.6826,811.8828,27.3759,0,0.5213,2.058,1.7638,15.7893,12.1352,28.4659,14.907,25.6919,9.5792,253.6077,5.0055,10.2413,418.5836,5.8575,38.9274,33.0593,6.1435,321.3385,26.0078,2.9388,12.891,12.623,13.5327,9.4728,26.5685,72.6124,14.4674,0.082,3.0121,14.9288,40.4365,6.812,34.1877,13.7792,47.2627,64.3562,787.2039,16.4582,2.9859,27.5383,2.6158,11.6417,2.8076,60.8666,3.7961,145.9349,823.0116,129.7122,1220.1245,54.9518,6213.3105,632.9409,7.7443,595.3105,361.0205,269.0048,266.6325,1381.7701,1194.7151,219.3621,606.2688,205.4,130.7183,1248.3021,178.5755,3.6039,24.7275,13.0741,0.3,48.845,58.8703,3469.9168,17.8874,1550.3833,26.3953,294.3735,13630.324,184.2922,1.5705,181.2071,99.5099,11.6516,120.7172,2.7491,146.1291,287.725,21.3982,4.3507,197.0866,548.4894,16.8064,88.3981,84.0394,746.865,1221.6739,147.7333,15.1415,8.778,0.5156,5.0619,0,0,1.0105
"Poland",123.0121,1.9547,44.044,5.3053,0.2574,1.7083,0.2915,1.6875,0.1447,0.0134,0.1694,0.0405,0.3657,0.0314,463.5664,65.032,0.0021,1.1637,1.1085,1.5336,0.5485,11.8908,1.3745,21.2384,9.1927,0.0264,0.1736,25.5168,1.298,72.9036,0.201,1.7523,16.9,6.1722,2.7882,381.7851,45.0584,228.3837,306.5889,19.4611,17.3165,0,221.7318,5.1206,9.7164,1162.6265,0,228.1586,35.801,13.1549,162.6173,0,2.158,0.2805,0,21.6634,0,0,1.3512,14.8694,6.7102,1.9793,33.7837,62.9,0,2.805,14.5277,52.1323,58.7014,0.2618,0,18.7427,80.5029,134.3534,221.7261,136.6884,5.6204,0,0.1353,0.0891,0.0055,3.0943,0.3894,5.984,0.2278,0.3916,0.0997,6.1885,2.0306,373.4329,17.9575,12.199,0.8117,4.9511,1.1452,25.9809,1.7281,0.1441,0.2288,0.443,0.286,0.5973,1.7435,0.6336,0.0938,0.077,0.1276,0.099,0.385,0.2189,4.2012,0.9939,11.2085,9.0728,11.7647,9,0.0165,0,0.3387,7.8684,0.7062,0.1724,0.3058,63.1684,25.5565,53.0787,40.7539,6.8024,279.3108,9.6874,0.0143,76.6889,27.1683,13.8578,2.4844,5.2413,20.0309,1.139,8.3549,0.2233,0.8279,13.4538,0.3235,0.3047,11.4103,24.0361,0.0068,3.894,0,60.8744,1.0757,29.6581,3.4144,26.9721,161.537,16.0013,0.019,9.9049,1.0794,15.213,9.3691,0.001,1.793,30.27,0.0209,1.0164,8.2512,16.1089,52.9157,0,47.125,5.0385,6.5705,0.2981,0.334,0.033,0.0869,0.6389,0,0,0.0752
