"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Monaco","Liechtenstein","Switzerland","Spain","Andorra","Portugal","Germany","Poland","Austria","Hungary","Czech Republic","Slovakia","Italy","San Marino","Malta","Albania","Macedonia","Croatia","Yugoslavia","Bosnia and Herzegovina","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Eritrea","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Kiribati","Fiji","Tonga","Nauru","Marshall Islands","Palau","Federated States of Micronesia","Samoa"
"Mauritania",27.68,0.2897,0,0.0167,9.0126,9,0,0,0.0002,0,0,0,0.0002,0,0,0,0,9,0,0,0,0.0771,0,1.8716,0,9,0,0,0.0143,3.2758,9,0,0.044,0.0038,0.0622,24.9514,4.9638,13.6028,10.6687,0.1569,52.1464,0,0,1.2805,11.1974,0,13.2301,15.3777,19.9867,1.8115,0.0507,0.3835,0.2359,54.7017,0,0.0126,0,0.0836,0,0,0,0.016,0.3101,0.119,4.28,0.0168,1.183,6.36,0.166,0.5054,2.6645,8.67,1.672,0,0,0,4.2602,0.8212,6.3981,2.8415,0.0181,0,0,0.0049,0.4407,0.0387,0.562,31.3156,0,0,0.0221,22.0475,0.0368,0.3323,10.3118,9,1.6315,10.2119,8.4002,0.0488,0.3983,0,9.0089,5.7809,0.1658,0,0.0519,0.007,0,0,0,0,0,0,9,0,0.006,0.0108,0.0295,1.1396,0,0,0,0.0258,0.0027,0,0.0009,9,0,17.5813,0.1873,0,0,0,1.7012,0,0.1522,0.893,2.531,0.0062,0,2.3887,0.035,0.1029,0.0149,0,0.245,0.2899,0,0,0,9,0,0,24.4599,0,0.3115,0.0005,0.12,91.2101,9.0475,0,0.6086,0,9,0.1189,9,9,5.5957,0.01,9,0.1144,3.9484,0,0,3.4738,15.0859,0.2305,0.0038,0,0,0,0,9,0,0,0,0,0,0
"Niger",2.4158,1.2676,9,0,9,0,9,0.0081,0.0018,0,0,0,0,0,0,0.065,0,9,0,9,0.0016,0.031,0,0.0016,0,0,0,0,0,3.4562,9,9,0.3979,1.3007,0.6188,7.042,0.5371,0.3564,4.8031,0.1508,44.0836,0,0,0.1543,1.7441,0,1.6744,7.5299,1.086,0.1595,0.1419,0.0926,0.0262,4.9396,0,0.0004,0,0,0,0,0,0.23,0.047,0.0016,0.5159,0.0006,1.4569,0.1234,0.05,0,0,0,0,0,0,0,0.1316,0.4902,0.1351,0.5047,0.0014,0,0,0,0,0,0.3533,1.3751,6.6768,0.0221,0,47.4723,0.0022,1.1821,0,0,0.153,7.0143,0.4337,30.8712,0.0268,0.0018,0.0054,0,0,0,0.0633,4.0778,0,0,0,9,0,0,0.026,0,0.2083,0.0067,0,0.2843,0.0016,0,9,0,0.0016,0,0.009,0,0.4692,1.5002,1.6648,3.3266,0,0.0975,0.294,0.0016,0.3021,0,0.013,0,0.5,1.1808,0,0.0106,0.0016,0,0.445,0.0016,0.0016,0,0,9.1,0,0,26.4165,0,0.4645,0.0309,152.08,19.3839,6.066,0,10.4734,0.0808,0,0.0065,0,0,0.6786,9,9.0861,1.132,0.2412,0.1088,9,0.0437,0.097,0.57,0,0.0016,0,0,0,9,0,0,0,0,0,9
"Ivory Coast",252.1998,41.5905,2.1967,0.0201,0.002,0.3085,0.0256,0.1179,0,0.0076,0,0,0.7288,0.24,0,6.3077,2.2906,0.2563,0.0976,0,3.0429,0.0888,3.2628,0.031,17.2868,0,0.0088,0.6769,0.1781,49.9489,0.0085,0.0301,0.0527,32.9696,0.0513,67.4972,0.8629,481.8527,51.8969,9.6159,111.8172,0,0,53.5929,70.0138,0,15.3916,198.0547,67.2026,3.5236,2.9162,14.0878,10.6326,77.4447,0,3.5337,0.0049,0.3809,0,0,0,0.6645,53.7437,0.2285,2.2323,9.6361,1.18,1.6025,61.77,0.0017,3.7864,16.6,0.4309,0,0,0,5.7974,13.7266,7.9683,2.8114,0.0231,0,0.2016,0.8037,6.6698,7.804,221.6828,29.4577,87.7325,22.0475,47.4723,0,33.0223,205.3587,26.0179,3.8721,146.0111,23.5729,11.7044,353.9696,19.5112,0.9886,3.065,15.244,32.147,0.0056,6.1583,2.1387,0.0163,0.0227,0.0005,0.0128,0.0654,0,12.6598,0.0747,0.2258,0.1999,0.0392,13.0704,0,0,0.0016,0.0004,0.1085,0,0.1071,0.0004,5.0649,77.4717,13.3023,0.1064,0.0302,6.6227,1.689,0.0309,3.9622,0.0651,2.7231,0.7954,0.9573,13.3895,0,8.7356,0.0091,0.4213,1.0682,0.0584,0,0,0,0,0,1.8,65.9126,0,0,0.3147,27.3572,112.6002,49.8585,0,17.6781,2.4434,0,0.1384,0,0,72.212,0.0039,0,9.784,7.8991,0.2737,0,2.2433,25.6937,8.4217,0,0.4584,0.0155,0,0,0,0,0,0,0,0,0
"Guinea",113.1625,0.2669,0,9.0022,0,0.293,0,0,0.0865,0.003,0.0447,0.0019,0,0.0029,0,0.0252,0.0022,0.013,0,0.0505,9,0,0,0.1204,0.0022,9,0,0.1052,0.0044,2.0464,0.0079,9.0101,0.0396,0.097,0.0216,4.159,86.9404,24.171,82.4242,0.7083,67.4234,0,0,41.8949,69.1785,0,0.9082,22.5833,0.6685,0.8863,6.6919,0.4742,0.0748,18.6146,0,0.6999,0,0.0219,1.35,0,0,1.3393,0.4713,4.4323,0.0207,0.624,0.1088,64.2936,0.3,0,0.0239,49.3107,0.0234,0,0,0,0.2279,0.3087,10.2959,5.47,0.0027,0,9,0.0397,9,0.5174,0.0536,3.939,0.0597,0.0368,0.0022,33.0223,0,0.0053,0.1882,0.9729,0.1538,0.0154,35.6936,0.5707,4.1553,0.0029,0,0,0.0086,0.0151,0,0.1126,9.0094,0,0.1809,0.0159,0,0,0,0.0007,0.0056,0.0043,9.0173,7.5595,9,9.031,9,0,0.0163,0,0.0061,0,4.6534,2.3404,0.1189,0,9.0288,0.2566,0.6436,0.0296,0.2552,9,0.5074,0.1918,0.196,0.7878,0.0108,0.0151,0.0072,9.0043,3.8511,2.9417,9,0,9,9,0,0,25.5945,0,9.1163,0.2213,38.7343,44.87,11.7083,0,4.4575,0.0007,9.0245,0.3941,9,9.013,10.1494,0,0,4.6073,1.6484,5.6762,0.0001,0.0329,3.4012,12.6238,0,0.0003,0,0,0,0,0,0,0,0,0,0
"Burkina Faso",10.3,1.3669,0,9,0,9,9,0,9,0,0,0,0,0,0,0,0,0,9,9,9,0,9,13.0744,0,9,9,0,0.5742,0.8899,9.1357,0.0569,0,0.0729,0,10.6027,1.2378,9.5531,11.8061,1.3741,152.093,0,0,0.8586,11.3262,0,8.0093,8.1901,0.6038,1.0791,0.0947,0.4439,0.13,6.7522,0,0.0002,9,0,0,0,0,0.334,0.1321,0,0,9,0.297,1.128,0,0,0,1.1,0,0,0,0,0.2057,0.0538,0.0024,1.2316,1.884,0,9,0.0178,0,0,1.0905,5.0993,0.8559,0.3323,1.1821,205.3587,0.0053,0,0.0028,0,2.3235,0,0.0197,14.6512,0.001,0.0044,0.0108,0.0464,0,0.0004,0.0803,0.0081,0.0004,0,0,0.0108,0,0,0.0057,0,0.0348,0.0056,0.007,1.8327,0,9,9.0013,0.0031,0.012,9,5.9605,0,0,0.0202,2.2861,11.8692,0.0001,9,0.0405,9,0.3957,0,0.563,0,0,0,9,0.0253,0.8607,9.0001,0.1352,0.0421,0.0003,0,0,9,0,0,7.1379,9,2.428,0.2052,3.96,4.9077,5.1275,9,0.0344,0,9,0,0,9,11.3772,9,0,0,5.156,17.0994,9,0.7367,13.4711,0.286,9.0045,0.0018,9.0011,0,0,0,9,0,0,0,0,9
"Liberia",20.3,3.0888,0.012,0,0,0.1674,0,10.6201,0.0012,9,9,0,9,0,0,1.3257,0,0,0,9,9,0,9,0.0131,0,0,6.5374,0.0746,0.9372,2.7665,0,0,0.429,0.9587,0.0309,24.8655,0.4899,23.9797,284.5213,0.9801,38.7535,0,0,9.72,106.169,0,2.1959,500.101,97.7053,0.1429,0.0274,1.606,0,23.0942,0,0,9,0.1479,182.549,0,0,0.0066,25.0062,0.0142,0.725,0,0.324,8.1839,3.465,0.5756,0.5375,0.88,0.0001,0,0.1301,0.0347,0.0846,0.35,9.2434,31.1036,0,0,9,0,0,0.1457,0,0.57,0.0116,10.3118,0,26.0179,0.1882,0.0028,0,2.262,0.3525,0.0119,0,1.0276,0,0,0,0.0852,0,0,8.775,0.0306,0,0,0,0,0,0,0,0,0.0063,0.0261,0,123.8209,9,0,9,0,0,9,0.0137,0,0,0.1954,0.0582,0,9,0,2.1341,0,3.6237,0,2.557,0,0,0,0,0.0076,0,0,9,0.1247,0,0,0,0,0,0.1,18.6108,0,6.1266,9,954.36,886.7652,2.28,0,14.4191,5.1613,0,0,0,0,2.9711,0,0,0.4312,2.4908,234.1837,9.0013,0.1837,3.8857,0.0916,0.0038,0,0,9,0,0.0017,0,0,0,0,0,0
"Sierra Leone",7.23,2.0778,0,9,9,0.0029,0,0.0027,0.0681,9.0007,9,0.0008,0.0041,9,0,0,0,0,9,0,0,0,0,0,0,0,9,9,0,1.1792,0,0,0,0.2128,0,65.8251,2.2493,9.9829,47.4407,0.1079,2.7238,0,0,1.4705,1.7068,0,0.0765,3.8086,0.4663,1.14,0.1792,0.1273,0.079,2.7111,0,0.0163,9,0.1256,0,0,0,0.018,18.128,0.0039,0,0,0,6.391,0.039,2.3814,0,1.65,0,0,0,0,0.1486,0.6869,0.8616,1.1471,0,0,0,9,9,0.2222,0,1.4878,0,9,0,3.8721,0.9729,0,2.262,0,0.1229,0.01,0,10.2894,0,0,9,0,0,9,0.1285,0.2572,0,0,0,9,0,0,9,9,0.0004,0.0866,0.3097,1.6082,0,9,0,0,9,0,0,0,0,0,0.0012,0,0,0,0.0714,9,0.0064,9,0.303,0,0,0.1895,0,0,0,0,9,0.2926,0,0,0,0,0,0,8.7171,0,1.177,9,1.32,1.3506,3.1475,0,0.1223,0.1157,0.5184,0,0,0,0.0654,0,0,0.568,0.3085,0,0,0,1.7686,0.0599,0,0.5554,0,0,0,0,0,0,0,0,0,0
"Ghana",61.69,35.6319,0,0.916,0,0.0748,26.2748,0.0053,0.0072,0,0,0,0,0.0081,9.0001,0,0,0,0,0.0012,0,0,0.4043,0.0094,0,0.2065,0.0349,0.3229,0.5104,37.4055,0.299,0,0.396,3.7707,0.0905,63.8741,3.3898,55.4527,14.7633,1.2251,160.7174,0,0,3.96,50.2212,0,1.6699,71.8544,11.1347,8.6195,0.1286,1.8054,2.7855,63.0799,0,0.0372,0,1.6096,6.9,0,0,1.6877,3.4479,1.3182,0.0966,0.0003,1.264,7.2215,6.928,0.034,0.1349,42.3,13.2879,0,9.0012,0.0029,7.3592,46.6201,7.7468,8.7282,0.0953,0,0.0059,9,9.0135,0.5605,0.0018,1.7381,23.0187,1.6315,0.153,146.0111,0.1538,2.3235,0.3525,0.1229,0,3.1799,0.075,414.7455,0.0072,9,9.0351,8.7219,0.0081,0.0565,0.2029,0.0157,0,0.0054,0.0972,9,0.0052,0,13.2899,0,0.0034,3.4902,0.0469,99.1047,0,0,0,0,0.0002,9,0.0463,0,0,1.4241,0.8267,0.248,0.0378,0,38.7213,0,1.1459,0,2.068,0.0572,6.09,6.851,0.0911,0.386,0.4366,0.0063,0.2982,0.4314,0,0,10.0611,0,0,0,156.0756,0,3.6343,7.4354,56.04,30.7485,58.57,9.0027,2.9014,3.9151,2.2284,0.0896,0.1999,0,23.7468,9.011,0,9.1806,14.4009,27.5321,0,0.1397,20.2138,35.4327,0,1.8124,0,0,0,0,0,0.0027,0,0,0,0.1743
"Togo",3.2461,13.0729,9.0333,0,0,0.117,0.0023,0.006,0.0028,9,0.001,0,0.0123,0.0166,9,1.8334,0,0.4067,0,9.0014,0,0.006,0.0265,0.0928,0.8966,0.0351,0,0,0,26.3507,0.0055,0,0,0.6109,1.1072,7.7665,0.3485,11.2828,5.5632,0.0017,69.9643,0,0,0.3843,3.1125,0,1.3951,15.2782,13.72,0.816,0.2598,1.77,0,2.5798,0,0.064,9.001,0,0,0,0,0.1129,4.8474,0.0128,0.001,0,1.719,5.3038,0,0.1691,0,0.0206,9.001,9,0,0,0.5326,0.0741,0.8021,2.5072,0.1202,0,0.0261,0,0.8902,0.0005,0.6234,2.4812,43.0674,10.2119,7.0143,23.5729,0.0154,0,0.0119,0.01,3.1799,0,1.8344,1.1902,0.0178,0.023,0.2153,0.2861,0.0209,0.0871,0.0289,0.0046,0.0127,0,0.1276,0,0.0047,0,0.0197,0.1,0.0203,0.0019,0,1.6846,0.002,0.0227,9,0,0.0094,0.0024,0.0011,9.1078,2.9999,0.3824,0.3951,0.0289,0,0.3125,0.1635,0,0.9817,0.0345,0.0113,0.0009,0.8834,0.8297,0.0605,0.0024,0.0668,9,0.0625,0.1452,0,0,0,0,0,9,15.5812,9.2891,18.052,0.2114,1.6276,14.9187,7.5563,0,1.8072,1.9392,0,0.005,0,9.0017,0.9683,9.0208,0,0.2135,8.5424,0.7144,9,13.0934,5.5161,0.066,0,0,9,9.4054,9,0.0382,9,9,0,0,0,9.0014
"Cameroon",21.7441,9.1131,0,0,0,0.0471,0.0042,0,0.0067,0,0,0.0474,0.0007,0,9.0001,5.4377,0,0,0,0.0026,0,0.7299,0.3492,0.2004,0.216,0,3.924,0,1.1813,6.4819,0.7236,0,0.0016,0.7765,7.656,36.8501,2.2095,118.9947,34.1328,0.6404,58.9125,0,0,0.7284,210.6406,0,66.7282,10.2639,0.1481,8.7823,0.0442,0.5279,0.0164,367.7696,0,0.2092,0.0049,0,0,0,0,0.5046,5.8863,0.162,0.7579,9,6.115,4.518,0.02,9,0.141,1.7288,0.3124,0,9,0.0092,6.5474,4.7415,3.7766,0.5326,0.068,0,0,0.4174,2.1182,1.2976,0.0018,13.6254,8.5824,8.4002,0.4337,11.7044,35.6936,0.0197,0,0,0.075,1.8344,0,151.3333,33.6499,17.816,23.0838,17.7494,2.8652,0,0.5915,0.0252,0,0,0,0,0,0,6.1718,0,0.0004,0.3215,0.0075,8.7588,1.223,0,0.1803,0,0.0098,0.0198,4.3922,0.2246,7.2435,4.3519,0.6784,0,0,1.2587,6.5196,0,1.4074,0.078,2.2866,0.2956,0.6223,0.3015,0,0.1007,0,0,0,0.077,0.013,0,0,0,0,0.2,54.4215,0,106.4335,0.0032,55.313,60.9724,4.5433,0,10.2212,0.2564,0,11.0151,0,3.0063,13.564,0,0,1.91,3.6335,2.0023,0,0.5821,4.1258,0.1005,0,0.0825,0,0,0,0,0,0,0,0,0,0
"Nigeria",3932.7502,265.2899,0,0.5636,0,0.1543,0.0245,0.0046,0.0097,0,9,0,0,0.1219,0,0.1904,0,0.019,0,0,0,0.0033,0,0.3133,0,1.4136,0.0109,0.0172,4.1767,562.5367,0,0.0374,131.233,19.9039,0.2916,612.4507,97.2236,240.1664,118.2251,5.6137,120.8309,0,0,165.6,787.108,0,313.2086,531.9785,0.8694,54.8016,3.9715,3.5861,1.0455,118.938,0,0.0823,0,2.7171,1.923,0,0,1.2435,27.9041,4.6461,2.6974,1.0952,20.968,23.302,2.588,0,0.1018,106.33,2.0337,0,0,0.0016,12.1963,38.5747,19.95,29.2947,15.0309,0,0.0007,0,0,0.3038,1.8996,111.4626,7.9742,0.0488,30.8712,353.9696,0.5707,14.6512,1.0276,10.2894,414.7455,1.1902,151.3333,0,7.1022,0.8405,11.2065,2.6745,65.8219,0.0107,1.5103,0.2968,0,0.0574,0,0.0046,0.2521,0,0.2209,0,0.1351,5.0093,0.0527,130.6872,6.2168,0,0.0158,0.2264,0.1143,0,0.0615,0,67.4456,28.8925,1.0508,3.1714,0.3611,0,36.6248,0,1.9611,0,5.099,0.3444,22.05,11.9688,0.8665,0,0.0018,0.127,0.9473,6.4184,0,9,0,0,0,3.96,444.6691,0,13.9303,2.8238,52.8,63.7421,2180.1951,0,35.2733,2.8012,0.2372,0.166,0,0,212.1213,0.022,0,2.571,50.9078,162.2311,0.0003,17.2523,37.5262,12.6466,0,25.6194,0,0,0,0,0,0,0,0,0,0
"Gabon",1546.91,1.0314,0.0021,0.0012,0.029,9,0,0.0083,0.0066,0.0185,9,0.0106,0,0,9,0,0,0.2552,0,9,9,9,0,0.0255,0,0,0,0.0334,0.0341,2.3408,0,0.0419,38.276,1.834,0.4073,20.9184,0.4357,18.2108,20.5407,0.2279,231.1569,0,0,2.527,4.6715,0,62.4885,1.3589,0.7441,0.6852,1.0246,0.6528,0.0042,10.899,0,0.006,9,0.0062,0,0,9.0048,0.0289,9.4537,0.3913,0.0099,0,0.044,0,0,0,0.0082,0.22,0,0,0,0,0.1963,2.1707,7.815,0.8256,0.0181,0,0.8948,0,1.3237,0,0.0401,2.8558,0.0795,0.3983,0.0268,19.5112,4.1553,0.001,0,0,0.0072,0.0178,33.6499,7.1022,0,0.0198,0.0072,5.3989,8.4554,0,0.1054,0.0915,9,0.0184,0,0,9.0072,0,0.6637,0,0.0105,0.1775,0.327,11.176,0,0,0,0,0.3977,9,0.0921,9.0084,19.6243,1.7917,0.1965,0,9,0,1.3832,9,0.1809,0,1.544,0.1972,12.3,0,0,0.0137,1.0468,0,0.3392,0,0.0012,0,0,0,0,0,291.9074,0,10.4884,0.9775,83.76,20.2752,1.36,0,0.4817,0.7693,0,0,9,0,6.5624,9,9,0.5035,0.8538,18.8972,0,0.2722,1.253,11.7589,0.0012,0.1398,0.1246,0,0,0,0,0,0,0,0,9
"Central African Republic",2.25,0.2286,0,0,9,0.1129,9,0,0,0,0,0,9,0,9.0012,0,9,0,9,0.0148,0,0.0567,0,0,0,0,0,0.0958,0.0099,0.6578,0.7869,0,0,0.0001,9,0.3962,0.5617,1.3744,147.008,0.0827,42.8001,0,0,1.2747,14.1577,0,2.9328,1.2667,0.0471,0.1113,1.2655,0.2783,0.0384,1.5254,0,0.0819,0,0,0,0,0,0.1458,0.0599,1.6134,0.0074,9,0.001,0.8494,0,0,0.0031,0,0.0545,0,0,0,0.4852,0.3004,0.0713,0.2683,0,0,0,0,9,0,0.0124,0.1121,0.007,0,0.0018,0.9886,0.0029,0.0044,0,0,9,0.023,17.816,0.8405,0.0198,0,1.6953,2.9717,0.9381,9,0,0,9,0,0,9,0,0,0,9,0.0007,0,0,0.7756,0.213,9.0406,0,0,0.0159,9,0.0836,0,0,0.0569,0.0998,0,0.3425,0,9.8553,9,0.492,9,1.985,0,0.7,0,0,0,0.2179,0,0,1.8033,9,0,9.1965,9,0,9.66,0.9815,9,6.1889,9.5354,0,4.1737,0.1375,0,3.8515,0,9.2704,0,0,0,0.3341,0,9,1.6643,2.4521,0,0,0,3.5242,0.0323,9,0,0,9,0,0,0,0,0,0,0,9
"Chad",5.04,0.2496,0,0,0,9.2062,0,0,9.0002,0,9,0,0,0,9,0,0,0,0,0,9,9,0,0.6749,0,0,0,0.3078,0,5.3416,9,0,0,0.1008,9,1.2111,0.0406,1.4667,3.9902,0.1543,47.4603,0,0,1.2669,3.0338,0,27.2036,14.2229,0.897,5.0471,0.0123,3.1047,0.1134,2.8572,0,0,0,0.0014,0,0,0,0.3714,0.0204,0,0,0,0.02,0.0612,0.38,0,0,9.22,0,0,0,0,0.0167,0.1682,0,0.9416,0,0,0,9,9,0,0,1.7537,0.8389,9.0089,0.0054,3.065,0,0.0108,0,9,9.0351,0.2153,23.0838,11.2065,0.0072,1.6953,0,0,0,0,0.0754,0,9,0,0.0068,0,0,0,0,0,0,0,0,0.1622,0,0,0,0,0.0047,0,0.0024,0,0,0.0027,0.0492,0,0.3608,9,0.3776,9,0.1346,0,0.022,0,0.22,6.5426,0.1106,9.0007,0,0,0,0,0,0,0.0353,0,0,0,0.2752,0,7.5268,0,0,0.6088,5.6375,0,0.5087,0,0,0,0,0,4.8774,9.01,0,0.0249,0.0918,0,0,0,0.9842,0.5782,9,0,0,0,0,0,0,0,0,0,0,9
"Congo",375.36,1.7126,0,0,0,0.0003,0,0,0,0,0,0,0,0,9,0.9131,0,9,0,9,0,0.0018,0,0.0608,0,0,0,0,0.1925,5.3471,0.0743,0.0172,20.798,1.8475,0,8.0956,3.2925,24.4595,12.1349,0.2643,120.6036,0,0,10.8,27.2439,0,23.3101,104.0774,11.8581,0.2086,0.0729,0.1733,0.256,11.6961,0,0,0,0.0006,0,0,0,0.0523,2.5251,0.0425,0.0524,9.0018,0.284,0.3232,0,9,0,1.65,0.0818,0,0,0,2.8062,3.4613,0.8693,0.4428,0,0,0,0,0,0,0.0266,1.3609,0.0216,5.7809,0,15.244,0,0.0464,0.0852,0,8.7219,0.2861,17.7494,2.6745,5.3989,2.9717,0,0,7.735,0.0906,1.1858,0.133,0.0189,0,0,0,0,0,4.0588,0,0.0313,2.0276,0,17.6122,0,0,0,0,0.0037,9,0.2783,9,0,1.4335,0.1161,0,0,0,10.1069,0,0.4411,0,0.185,0.0031,0.33,0.1525,0,0.0228,0.0003,9,9,0.1637,9,0,0.1159,0,0,0,15.7267,9,533.3764,0.016,281.4,0.9563,22.1875,0,3.1663,0,9,0,9,0,40.6762,9,9,1.0571,1.6578,0.0698,0,0,8.99,16.7919,9,0.0417,0,9,0,0,9,0,0,0,0,9
"Democratic Republic of the Congo",214.48,3.7856,0,9,0,9,0,0.0191,0.0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0.0605,1.7325,9,0.3269,0,0.3002,0.251,0.7348,5.4381,17.1585,692.6159,0.9011,22.5961,0,0,4.1775,1.4683,0,9.697,12.4615,0.1901,0.5533,1.0073,0.0586,0.256,27.8146,0,0.0003,0,0,0,0,0,0.0074,0.6631,0.0034,0.0111,0,0.05,0.221,0,9,0,0.44,0.0334,0,0,0,50.0924,0.0256,1.3341,0.7927,0,0,9,0,0,0,0,2.2568,0.043,0.1658,0,32.147,0.0086,0,0,0,0.0081,0.0209,2.8652,65.8219,8.4554,0.9381,0,7.735,0,0,34.0139,15.4697,0.5921,4.3962,0,0,0,0,0,0.11,0,8.6071,0.8196,140.2017,0,0,0,0,0.0301,0,0.3464,9.0187,0,0.0987,0.005,0,0,0,1.7345,0,0.1956,0,0.208,0,0,0,0,0,0,0,0,1.1063,9,0,0,0,0,0,38.5758,0,0.5881,0.2839,1.32,12.637,4.22,0,0.0314,9,9,0,0,0,0,9,0,0.0176,0.4166,3.6979,0,0,3.2719,0.0951,9,0,0,9.0072,0,0,0,0,0,0,0,0
"Uganda",6.19,1.8745,0,0,0,9.0642,0,0.0005,0.0004,9.0015,9,0,0,0,0,0,0,9,9,0,9,9.0176,9,0.014,0,0,0,0.161,0.0033,0.2893,9,9,0,0.0004,0,47.9736,3.7648,21.9167,16.4656,0.2412,1.8058,0,0,5.76,53.5065,0,14.0382,7.2294,13.5214,0.5553,32.4138,1.6606,0.0608,10.8345,0,0.0204,0,0.0152,0,0,0,1.2191,0.8145,0.0592,0.1264,9,1.034,3.0152,0.019,0.2366,0.1067,0.24,1.2498,0,0.0013,0,0.7916,7.739,1.4063,1.3105,0.0386,0,0,0,0,0,9,0,9,0,0,0.0056,0.0151,0.0004,0,9,0.0565,0.0871,0,0.0107,0,9,0,0.0906,0,0,333.7903,6.1079,0.0359,1.8098,0.3975,0,0.0428,0,0,0,5.9091,1.8901,1.5785,42.9084,0,0,0,9,0.039,0,0.5688,0,0,8.4895,0.5273,0,0.2759,0,1.939,0,0.8731,0,0.119,0.3283,0,5.333,0,0.011,0.0023,0,11.2811,0.1542,0,0,0,9,0,0,11.533,0,3.6453,0,5.28,33.4671,42.7775,0,2.9037,1.1616,0,0,0,0,5.5584,9,0,1.1132,0.2506,0,9,0.0203,1.6447,4.1176,0.0038,0.0367,0,0,0,0,0,0,0,0,0,0
"Kenya",97.19,21.9394,0,0,9,0.0137,0,0.0081,0.0049,0,9,0,0.0002,0,9,0.5866,0,0,0,0,9,0.0433,0,0.0876,0,0,0,0.3304,0.0055,16.4461,0.0004,0,0.004,35.9313,0.0322,23.721,2.2624,86.7528,29.3812,2.7665,78.7537,0,0,22.08,27.4665,0,3.4313,5.0631,5.1809,4.8666,1.6581,3.9015,0.0384,34.1672,0,0.0847,0,0.0038,0,0,9,0.1614,1.9064,0.608,0.0163,9,1.137,24.205,0.049,0.0017,0.0289,2.68,0,0,9,0.0047,8.8309,1.4586,1.0473,11.0807,0.0662,0,0,0.0042,0,0.0177,0.3947,0.1032,0.0949,0.0519,0.0633,6.1583,0,0.0803,8.775,0.1285,0.2029,0.0289,0.5915,1.5103,0.1054,0,0.0754,1.1858,34.0139,333.7903,0,64.9414,6.1064,50.5774,34.6038,2.7195,17.2062,3.0482,0.2571,0.55,0.4812,0.3777,6.4416,221.6854,0,0,0,0,0.163,3.7863,4.3607,2.6953,0.1992,0.0665,0.1797,0.0625,48.9219,0,10.5735,0.0007,69.4034,0,0.791,0.7642,14.37,213.0061,5.7889,0.2,35.3047,15.074,287.7926,40.1956,41.0051,0,0,0,0,0.44,120.5062,0,20.5741,0.0483,51.6,146.7339,111.4075,0,132.7486,2.3805,0.0441,0.9405,0,0,0.3158,9,0,0.6621,28.7285,14.4962,0.0117,0.241,23.4534,39.8993,0,0.11,9,0,0,0,0,0,0,0,0,9
