"","United States of America","Canada","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Mexico","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","German Federal Republic","German Democratic Republic","Poland","Austria","Hungary","Czechoslovakia","Italy","Malta","Albania","Yugoslavia","Greece","Cyprus","Bulgaria","Romania","Russia","Finland","Sweden","Norway","Denmark","Iceland","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Ethiopia","Zambia","Zimbabwe","Malawi","South Africa","Madagascar","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Kuwait","Afghanistan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Pakistan","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Philippines","Indonesia","Australia","New Zealand"
"German Federal Republic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.564,4.3353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"German Democratic Republic",5,12.4,0,0,0,0,0,0.5,0,0.1,0,0,0.2,0.11,1.5,1.5,0.36,8.3,5.3,0.1,9,0,3.7,1.1,11,2.6,12.9,13.5228,0.6772,53.2,0.7,4.7,0.3,0,0,0,2.1,0,0,1.8,0.3,0,12.1,1.1,0.4,0,2.99,0,3.2,7.1,1.7,2.5,1.2,0.189,0.1,0,0,0,0.1,0.1,0,0,0,1.2,5.6,0,0.3,3.7,0,0,0.1,0,0,0.1,0.4,0.3,0,0,9,0,0.1,1.1,9,0,0.2,0.4,0,1,0.2,1.2,0.8,0.6,2.8,0.7,0.7,2,2.6,0.4,0,0,0,0,0,0,0,0,0,0.1,5.8,3.3,0.2,1.2,0,0,0,1,9,0,0,0,0,0,0,10.77,0
"Poland",37,17.2,0,0.488,0,0,9,57.1,0,0.4,1.4,0.1,0.1,0.11,1.8,0.4,0.27,3.9,3.4,0.1,9,0.5,5.9,1,65.2,7,2.1,0.2857,0.0143,4.4,1.4,10.3,2.9,0,0,0,13.6,0,0,11,0.4,0,7.2,2.6,0.5,0,4.18,0,1.8,7.3,1.9,14.5,0.1,0.039,9.7,0.1,0.3,0,9.1,1.3,0,0,0,10,13,0.3,0.1,3.8,0,0,9,0.2,0,1.2,0.5,0.3,0,0,9.1,0.7,1.8,2.09,9,0,0.3,1.6,0,2.2,2.9,0.8,1.8,3,20.7,5.5,0.3,3.6,1.5,0.2,3.1,9,0,0,0,0,0,0,0,3.3,10.6,0.1,6,2,0,0,1.6,2.5,9,0,0,0,0,0,0,12.53,3
"Austria",20.4,1.5,0.2,0.095,0.69,0.2,0.1,0.7,2.1,1.8,0.7,0.8,1,0.29,1.7,6,3.92,3.1,15.99,0.4,0.4,0.6,2.7,1.5,46.2,1,3.1,14.5703,0.7297,50,6.5,7.7,0.9,0,2.1,13.6,0,11,0.9,11.9,0.5,0,6.6,13.8,1.6,13.5,5.76,4.4,9.2,14.1,5.9,2,0,0.097,0,0.4,0.1,0,0,0.3,5.5,0,0.1,0.2,4.3,0,0.1,0.3,0.7,0,0.1,0.1,0,0,0.6,0.5,0,0,0.1,2.2,0.6,2.97,0.09,5.6,0.1,3.1,1.9,1.3,1.2,0.5,6.5,0.5,6.6,1,2.5,4.7,3.4,2.1,2.2,0,1.5,0.5,3.2,0.1,0.1,0.7,1.2,4.5,4.7,0.2,0.7,1.5,0,0,0.9,0,0,0.2,0,0,0,2.6,2.5,3.61,0.3
"Hungary",7,6.1,0,0.405,0,0,9,0.1,0,0.5,0.1,0,0.2,0,0.5,0.3,0.14,1.4,7,9.4,9,0,7.8,0.5,2.6,0.2,1.8,2.9521,0.1478,4.8,9.2,0,0.6,0,0,0,11,0,0,14.8,0.7,0,5.1,2.9,0.3,0,7.54,0,2.5,3.1,1.8,0,0.3,0.367,0.2,0,9,0,0,0.1,0,0,0,10.2,4.7,0.1,0.4,0.3,0,0,0.1,0.4,0,1.8,0.5,0.3,0,0,9,1.1,1.4,0.11,9,0,0.1,7.7,0,0.4,1.9,0,2.5,1.7,3.8,3.9,0.4,3.6,0.9,1.2,0,9,0,0,0,0,0,0,0,2,0.2,0.1,0.6,0.2,0,0,0.2,9,0,0,0,0,0,9,0,1.25,0
"Czechoslovakia",10,16,0,0.536,0,0,9.7,2.8,0,0.5,0.1,0,0.3,0.11,0.3,3.7,0.62,0.4,6.05,1.4,9,1.1,0.8,1.1,8.1,0.9,12.6,1.9998,0.1002,8.7,0.8,2.7,1.4,0,0,0,0.9,0,0,5.5,0.9,0,0.7,2.4,0.7,0,18.71,0,3,3,1.4,3.2,0.1,0.231,0.3,0.1,9,0,0,0.1,0,0,0,10.2,10,9.1,0.4,3.6,0,0,9.1,0,0.2,0.9,0.4,0.5,0,0,9.2,2.4,2,1.34,9.11,0,0.5,1.2,0,0.5,3.3,0.4,0.1,2,24,30.5,1.6,10.5,3.3,0.1,1,0,0,2.7,0,0,0,0,0,1.5,8.9,0.7,3.7,1.5,0,0,0.2,4.2,9,0,0,0,0,0,0,2.77,0.1
"Italy",317.8,9.8,2.7,5.138,1.41,0.4,0.7,5.1,1.3,0.6,2.2,1,0.2,0.89,4.3,51.7,3.29,6.8,60.85,2.1,3.849,7.3,199.7,8,65.4,7.1,11.3,42.3777,2.1224,8.3,199.5,149,30.7,0,1.8,11,11.9,14.8,5.5,0,10.6,4.8,4.7,86.5,10.9,1.8,4.06,83.2,9,39,3.4,8.9,5.4,2.328,0.3,2.9,0.1,11.6,0.5,29.5,1.1,0.1,10.4,0.5,0,2.5,10.3,9.4,0.2,0.3,0.6,1.4,36.2,3.4,2.1,8.1,0.4,0.1,11.8,17.9,23.5,8.79,0.36,32,0.2,4,3.3,4.2,2.1,11.7,22.8,6.2,108.2,16.7,0.6,28.6,4.2,23.9,164.8,0.2,341.7,0.9,18,0,2.1,0.2,5,10.6,23.6,27.1,1.5,3.2,0,9,1.4,0.3,0.1,4.2,0,0,0,2,14.6,50.86,20.38
"Malta",1.3,1.8,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.4,0,0,0,0,0.1,0,30.3,0.3,5,0.7618,0.0382,4.1,0.3,0.6,0.16,0,0.3,0.4,0.5,0.7,0.9,10.6,0,9,0.06,0.3,0.1,0.8,0.7,0.5,0.4,0.3,0.3,2.1,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0.1,0,0.09,0,0.3,0.3,0.1,0,0.5,0,0.1,1.6,0.2,0,0.2,0,0,0.1,0,0.4,0,0,9,0,1.6,0.4,0,0,0.3,0,0,0,0,0,9,0,0,0,0,0.4,3.68,0
"Albania",0,17.8,0,0,9,0,0,0,9,0,0,9,0,9,0,9,9,0,9,0,0,0,9.1,0,0.3,0,0.1,0.0952,0.0048,0.2,0.2,0,0,0,0,0,0,0,0,4.8,9,0,0.3,0.2,9,0,0.31,0,0,0.1,0,0,0,0,0,9,9,0,0,9,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,9,0.6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9
"Yugoslavia",124.2,1.5,0.5,0.004,0,0.4,0,0.5,0,0,0,0,0.2,6.9,0.1,1.2,0.05,3.7,9.14,0,0,0.7,9.8,3.7,21,0.6,11.2,1.8094,0.0906,27,10.4,0.2,0,0,12.1,7.2,6.6,5.1,0.7,4.7,0.06,0.3,0,6.6,1.4,1.9,2.34,79.6,0.1,3.5,1.7,1.5,0,0.003,0.8,0,0,0,1.1,1,1.2,0.6,0,0,8.2,0.3,0.1,2.1,0,0.6,4.3,0.1,0,0.8,1.7,0.3,0,0,0,1.3,0,0.11,0,0,0.1,1.8,0.7,2.7,2.3,0.6,4.8,1.7,1.7,5.7,1.4,2,1.6,2.2,2.2,0,1.9,0,0,0.2,0,0,0,21.6,1.5,4.5,1.7,0.8,0,0,1.5,1,0,0,0,0,0,0,8.2,18.62,1.6
"Greece",65.7,5.7,9.3,0,0,0,0,0.1,0,0,0,0.1,0,0.2,0,0.2,0,0.4,7.24,0,0.2,0,10.6,6.5,72.2,0.8,22.2,32.7593,1.6407,79.4,15.1,0.6,1,0,1.1,2.6,13.8,2.9,2.4,86.5,0.3,0.2,6.6,0,4.6,10.4,4.94,9.6,10.4,32.1,8.6,9.3,1,0.4,0,0.1,0,0,0,0.5,0,0,1.7,0,1.4,0,0,0.5,0.5,0,0,0,2.4,0.2,1.1,0.5,0,0,0.4,1.4,2.5,2.49,0,2.9,0.7,2.6,1,3.6,3.6,1.2,16.8,7.5,1.9,7,0.6,0.4,0.2,2.3,19.3,0,0.9,0,0.1,0,0.4,0.1,0.2,31.9,2.2,0,0,0.3,0,0,0.2,0,0,0.9,0,0,0,0,0.2,14.92,5.4
"Cyprus",3.6,0.1,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.4,0,0,0,0.7,0,18.4,0.3,2.6,2.7617,0.1383,6.7,0.5,6.8,1.9,0,0.4,0.5,1.6,0.3,0.7,10.9,0.1,9,1.4,4.6,0,0.1,1.08,1.4,0.2,2.2,0.1,1.9,0,0.009,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0,0,0,0,0,0.09,0.1,0.1,0,0,0,0.2,0.7,0.2,0.2,0.2,0,0.1,0.7,1.4,0.2,0.3,0.4,9,0,0,0,0,0,0,0,4.5,1.3,0.4,0,0.1,0,9,0.4,9,9,0,0,0,0,0,0,0.6,1.4
"Bulgaria",2,6.2,0,9.646,0,9,0,0,0,0,0,0,0,0,0,0,0.02,1,4.23,9,0,0,0.6,0,4.3,0.1,8.1,2.0951,0.1049,16.4,4.9,4.2,0,0,0,0,13.5,0,0,1.8,0.8,0,1.9,10.4,0.1,0,5.16,0,0.3,3.1,3.4,1.8,0,9,9,0,9,0,0,0.2,0,0,0,9,3.3,0,0,0.4,0,9,9,0,9,9,0,0.1,0,9,9,0.7,9,0,0,0,0,0.5,0,0,1.5,0.2,1.5,1.3,3.3,1.8,0.9,2.2,0.5,0.4,0,9,0,0,0,0,0,0,0,4.9,2,0.4,0,0.1,0,0,0.1,1.6,9,0,0,0,0,9,0,0.69,0
"Romania",8.05,0.19,2.4,0.097,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0.6,3.28,0,9,0,1.17,0,16.9,0.4,4.66,2.1522,0.1078,25.35,7.58,1.81,2.01,0,2.99,4.18,5.76,7.54,18.71,4.06,0.7,0.31,2.34,4.94,1.08,5.16,0,8.33,0.3,0.91,0.46,1.12,0.02,0.023,0,0,0,0,0,0.1,0,9,0,0,2.2,0,0.1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.01,9,0,0.1,0.1,0.78,0.1,3.5,0.48,0.22,0.62,4.13,4.96,7.59,5.71,1.9,0.61,2.6,0,1.02,9,2.58,0.04,0,1.22,0,0.34,6.2,0,0.1,1.52,0,0,0.1,0.1,0,0,0,0,0,0,0.04,0.15,0
"Russia",1,172.9,0,0,0,0,9,0.6,0,0,0,0,0,0,0.3,0.1,0,0,9.2,0,9,0,64,4.1,204.4,1,23.6,22.5697,1.1303,74,3.3,19.1,0,0,0,0,4.4,0,0,83.2,0.5,0,79.6,9.6,1.4,0,8.33,0,4.6,22,9.7,2.7,5.3,9.005,7.4,0.3,0.4,0,0.1,2.1,0,9,0,9.1,1.5,0.2,0.1,5.5,0,0,9,0.5,0,0.1,0.6,0.4,0,0,12.9,0.5,6.7,0,0,0,0,1.6,0,4.6,2.9,5.2,4.9,1.8,30.2,46.4,10.7,4.2,12.3,0.2,0.8,0,0,43.5,0,0,0,0,0,71.9,14.6,8.2,5.9,0.6,0,0,2.2,1.4,9,0,0,0,0,0,13.4,88.16,4.7
"Finland",11.4,5.3,4.9,0.03,0.2,0,0,2.6,2.6,0.4,1.2,0.2,1.4,0.09,0.5,0.2,0.57,0.6,13.74,0.1,0,2,11.7,0.8,104,14.7,32.8,15.9988,0.8012,1.1,29.2,8.7,0.8,0,3.2,1.8,9.2,2.5,3,9,0.4,0,0.1,10.4,0.2,0.3,0.3,4.6,0,114.9,11.4,23.5,1.5,0,0,0.1,0,0,0,0.3,0,0,0.3,0.7,0.1,0.1,0,3,0,0,0,0,0.1,0.5,1.3,0.1,0,0,0,0.2,4.2,0.14,0.09,6.6,0.1,1.2,0.8,0.8,0.3,0.7,6.3,1.5,1.4,4.5,1,1.9,0.3,3.6,0.5,0,0.2,0,2.3,9,0,0,0,18.3,2.7,0.1,1.2,0.1,9,9,0.8,0.1,0.1,1.5,0,0,0,1.8,0.4,18.73,1.4
"Sweden",152.6,19.2,3,0.867,0.18,3.6,23,19.3,0.2,0.2,2.5,0.5,0.7,2.14,11,46.1,0.6,5.8,40.85,1.1,1.546,31.4,9.5,1,41.3,12,31.2,21.046,1.054,28.2,15,45.5,1.3,0,7.1,7.3,14.1,3.1,3,39,0.3,0.1,3.5,32.1,2.2,3.1,0.91,22,114.9,0,225.5,112.3,2,0.108,0,1,0.1,0,0.3,0.7,0.1,0.5,19.5,0.7,2.2,0.1,0,3.6,0.4,0.1,0.4,0.1,1.2,0.4,1.9,1.1,0.2,0.1,0.2,1.4,14.4,2.73,0.02,27.1,0.7,3.1,1.9,4.5,1.3,0.6,0.9,5.5,1.3,7.8,1.5,3.3,1.8,0.3,9.5,0,0.4,0.6,1.4,0,0.4,0.4,4.3,27,18.7,2.9,2.9,2.6,0,9.4,3.4,0.3,0,0.3,0,0,0,9,7.6,44.44,2.94
"Norway",19.6,48.6,0,0.291,0.45,12.6,0.1,2.5,1.1,0.4,0.1,0.1,0.2,0.98,3.5,24.9,1.32,2.9,14.34,0.2,0,2,10.9,0,29.4,2.7,50.8,25.7123,1.2877,46,22.3,0.8,1.4,0,1.7,1.9,5.9,1.8,1.4,3.4,0.3,0,1.7,8.6,0.1,3.4,0.46,9.7,11.4,225.5,0,13.5,6.1,0.002,0,2.5,0.3,0,0,0.1,8.3,0,23,0.1,8.2,0.1,0.6,13.6,0,0,0,0,0.2,0.4,0.5,1.2,0,0.1,0,0.8,0.3,0.28,0.5,1.5,0.1,2.5,0.2,0.3,7.5,0.3,3.3,2.2,2.3,3.1,0.1,0.8,0.3,13.7,12.1,0,2.5,0.1,0.4,0,0.8,0,0,72.7,0,1.2,0.4,0.7,9,9,0.5,0.1,0,0,0,0,0,1.9,2.1,3.04,0.04
"Denmark",54.8,15.2,0.5,0.412,0.26,0.7,0.1,4.3,0.8,0.5,0.8,0.4,0.2,5.8,0.7,11.3,0.29,2.2,26.95,0.9,0.2,6,6.6,0,78,9.5,89.5,53.9006,2.6994,44.6,35.9,19.6,3.4,0,2.5,14.5,2,0,3.2,8.9,2.1,0,1.5,9.3,1.9,1.8,1.12,2.7,23.5,112.3,13.5,0,3.8,0.04,0.1,0.5,0.1,0,0,2.6,0.1,0,9.6,0.7,1.2,0.1,0.2,1,0.5,0.1,0.1,0.3,0.9,0.7,0.2,1.2,0,0,0.2,1.4,0.8,0.22,0.11,10.7,0.1,3.3,1.1,0.6,9.7,0.6,2.7,0,1.8,3.2,0.9,1.4,1.3,2.4,12.6,0,15,0.3,4.5,0,0.4,0,0.2,19.4,0.4,4.2,6.1,0.7,0,0.1,4.1,0.2,0.1,0.6,0,0,0,5,1.7,5.93,1.8
"Iceland",4.3,4.7,0.2,0,0,0,0,0.1,0,0,0,0,0,0.11,0,0.3,0.2,0,0.8,0,0,0,0.1,0,8,1.1,4.9,0,0,0.5,0.9,2.2,1.4,0,1.2,0.1,0,0.3,0.1,5.4,0,0,0,1,0,0,0.02,5.3,1.5,2,6.1,3.8,0,0,0,0.3,0,0,0,0,9,9,0,0,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.2,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0.1,9,0,0,0,5,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
"Gambia",0.213,0.185,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.1,0.02,0,0,0,0.005,0,2.817,0.013,0.183,0.0381,0.0019,0.416,0.082,0.75,3.65,0,0.189,0.039,0.097,0.367,0.231,2.328,0,0,0.003,0.4,0.009,9,0.023,9.005,0,0.108,0.002,0.04,0,0,0,0.058,0,0,0,0,0,0,0,0.151,0.09,0,0,0.019,0,9,0,9,9,0,0,9,0,0,0,0,0,0,0.118,9,9,0.468,0,0,0,0,9,9,0,0.005,0,0,0,9,0,9,0,0,0.737,0,0,0,0,2.371,0.334,0.346,0.832,0.003,0,0,0,9,0,0,0,9,9,0,9.013,0.014,0.012
"Mali",1.4,0,0,0,0,0,9,9,0,9,0,0,0,0,0,0.5,9,0,0,0,9,0,0,9,0.3,0,0.2,0.9523,0.0477,8.3,0.1,0.1,0,0,0.1,9.7,0,0.2,0.3,0.3,0,0,0.8,0,0,9,0,7.4,0,0,0,0.1,0,0,0,0.5,0,0.1,0.1,3.4,0,1.7,0.1,0.1,3.5,0,0,0.1,0,0,0,0,0,0,0.1,9,0,0,0,9,0,0,0,0,0,0.2,0.8,0,0,9,0,0,0.2,2.7,0,0.1,0,0,0,9,9,0,9.8,0,0,0,0,0.1,0.2,0,9,0,0,0,0,9,0,9,0,0,9,0,0,0,0
"Senegal",6.4,0,0,0.003,9,0,0.1,0.6,9,0,0,0,0,0,0,0.2,0,0,0.8,9,0,0,0.3,0,1.4,1.3,3.3,2.476,0.124,27.9,0.8,0.2,1,0,0,0.1,0.4,0,0.1,2.9,0,9,0,0.1,0,0,0,0.3,0.1,1,2.5,0.5,0.3,0.058,0.5,0,1.3,0,1,2.2,0,0,0.1,0.2,0.2,0.4,0.6,0.2,1.1,0.3,0.1,0.1,0,9,0.1,0,0,0,0,0,0,0.88,0,1.2,0.2,2.2,3.9,0.4,0.1,0,0.1,0,0.1,0.1,9,0.1,0,0,0,9,0,9,3,0,0,0,0,4.1,0.2,0.1,0,0,0,0,6.6,9.3,0,0,0,0,0,0,0,0.2,0
"Benin",0.4,0.1,9,9,9,0,0,0,0,0,0,9,0,0,0,0.3,9,0,0,0,0,9,0,9,1.1,0,1.1,0.7618,0.0382,9.8,0,0,0,0,0,0.3,0.1,9,9,0.1,0,9,0,0,0,9,0,0.4,0,0.1,0.3,0.1,0,0,0,1.3,0,0,0.1,0.1,9,0.3,0,0,0,0.1,0.1,0.8,0,0,9,0,0,0,0,0,0,0,0,0,0,9,9,9,0,0.1,0.4,0.1,0,9,0,0,0.4,0,9,0,0,0,0,9,9,0,0.5,0,0,9,0,0.2,0.3,0,9,0,0,9,0,0.4,0,0,0,9,9,0,9,0,0
"Mauritania",2,0.6,0,0,0,0,0,0,9,0,0,0,0,0,9,9,0,0,0,0,0,0,0,9,18.3,0,3.1,6.4757,0.3243,1.6,0,0.3,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,9,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"Niger",1.1,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1,0,1.3,0.5714,0.0286,0.3,0.6,0.1,0,0,0.1,9.1,0,0,0,0.5,0,0,1.1,0,0,0,0,0.1,0,0.3,0,0,0,0,0.1,1,0.1,0,0,1.3,0,0.1,0,0.1,0.8,0.1,0,0.6,0,0,0.1,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0.1,0.3,0,0,0,0,0,0.6,0.2,0,0,0,0,0,0,9,0,1.8,0,0,9,0,0.3,0.1,0.3,0,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0
"Ivory Coast",37.2,0,0,0,9,0,0,0.1,0,9,9,0,0,0,0,3.2,0,0,4.6,0,0,0,0,0.1,8.4,0.9,2.9,0.9523,0.0477,23.9,1.1,4.9,0,0,0.1,1.3,0.3,0.1,0.1,29.5,0,9,1,0.5,0,0.2,0.1,2.1,0.3,0.7,0.1,2.6,0,0,3.4,2.2,0.1,0.1,1.3,0,0.1,1.9,0.3,0,0.2,0.2,0.2,0.5,0.9,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0.1,0.11,0,0,0,0.7,4.2,1.3,0,0,0,0,0.4,0.1,0.2,0.4,1.9,0.8,1,9,0,9,0.3,0,0,0.2,0,1.1,0.3,0.8,0,0,0,0,0.2,0.7,0,0,0,0,0,0,0,0.11,0.1
"Guinea",4,0.8,0,0,0,9,0,0,0,0,0,0,0,0,0,0.1,0,0,0.2,9,0,0,0,0,1.1,0,0.3,1.9046,0.0954,9.5,3,3.7,0,0,0,0,5.5,0,0,1.1,9,0,1.2,0,0,0,0,0,0,0.1,8.3,0.1,9,0,0,0,9,0,0,0.1,0,9,0,0,0,0,5.1,0,0,0,0,0,9,0,0,0,0,0,9,9,0,0,0,0,0,0.2,0,0.1,0,0,9.2,0,9.2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Burkina Faso",0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,9,9,0,9,0.1,0,0.5,0.3809,0.0191,14.3,0,0.1,0,0,0,0,0,0,0,0.1,9,0,0.6,0,0,0,9,9,0,0.5,0,0,9,0,1.7,0,0.3,9,0.1,1.9,9,0,9,9,3,0,0,0.1,0,0,0,0,9,0,0,0,0,9,9,9,0,9,0,0,9,0.1,9,0.1,9,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,9,9,0,0.1,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
"Liberia",16,1.6,0,0.002,0,0,0,0.3,9,0,0,0,0,9,0,0.9,0.07,0,0.1,0,9,0,0.2,0.3,12.3,0,1.3,9.9992,0.5008,19.1,1,5.7,0,0,0,0,0.1,0,0,10.4,0,0,0,1.7,0,0,0,0,0.3,19.5,23,9.6,0,0,0.1,0.1,0,0,0,0.3,0,9,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,9,0.1,0,0,0,9,12.3,0,9,0,0,0.1,0,0,0,9,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.2,0
"Sierra Leone",9.4,0.9,9,0,9,0,1.7,0,0,9,0,0,0,0,0,0.3,0,0,0.4,9,0,0,0.1,0,40.6,0.6,3,0.2857,0.0143,5.1,0.1,0.4,0,0,1.2,10,0.2,10.2,10.2,0.5,0,0,0,0,0.2,9,0,9.1,0.7,0.7,0.1,0.7,0,0.151,0.1,0.2,0,0,0.1,0,0,9,0.1,0,0.2,0,0,0.9,0.1,9,9,0,0,9,0,9,0,0,0,9,0,0.1,1,0,9,0,0,0,0,0,0,0,9,0.2,9,0,0,0.2,0,9,9,9,1.3,0,0,9,0,8.8,1.8,0.6,0,0,9,0,0,9,0,0,0,0,9,0,0,0.5,0.2
"Ghana",24.9,2.7,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.6,0,0,0.9,0,0,0,0,0.2,67.3,3.3,13.6,5.7138,0.2862,8.6,0.3,1.9,0,0,5.6,13,4.3,4.7,10,0,0,0,8.2,1.4,0,3.3,2.2,1.5,0.1,2.2,8.2,1.2,0,0.09,3.5,0.2,0,0,0.8,0.2,0,3,0,0.2,0,0.8,0,5,9,9,0,0,0,0,0,0,0,0,0,0,0.2,0.19,0,0,0,0.4,0,0,1.8,0.5,0,0,0,0.4,0,0.1,0,5.5,0,9,0,0,9,0,0,0,0,11.5,2.8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2.94,1.19
"Togo",0.5,0.4,0.1,0,9,0,0,0,9,0,0,0,0,0,0,0.6,0,0,0.44,0,0,9,0,0.1,1.8,0,1.5,1.9998,0.1002,0.5,0.4,0.4,0,0,0,0.3,0,0.1,9.1,2.5,0,0,0.3,0,0,0,0,0.2,0.1,0.1,0.1,0.1,0,0,0,0.4,0.1,0,0.1,0.2,0,0,0,0,0.8,0,0,0.2,0,0,0,0.1,0,0,0,9,9,0,9,0,9,9,0,0,0,0.1,0,0,0,0,0,0,0.4,0,9,0,0,0.1,0,0,0,9,0.6,0,0,0,0,3.8,0.1,0.3,9,0,0,0,0,9.3,9,0,0,0,0,0,0,1.1,0
"Cameroon",6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0.1,0,0,0,0,0,5,0.1,18.4,0.6666,0.0334,3.3,0.4,2.9,0,0,0.3,0.1,0.1,0.4,0.4,10.3,0,0,0.1,0,0,0,0.1,0.1,0,0,0.6,0.2,0,0,0,0.6,0.1,0,0,0.2,5.1,0,0,0,0,0,0,0.2,1.8,0.4,0.8,0.4,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.7,0,0.6,0,0,0.1,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,1.9,0.3,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.77,0
"Nigeria",28.6,5.9,0,0,0,0,0,0.1,0,0,0,0,0,0,0,4.3,9,0,1,9,0,9,10.9,0.3,77.9,0.7,14.7,11.0468,0.5532,13.8,9.7,6.1,14.1,0,3.7,3.8,0.3,0.3,3.6,9.4,0,9,2.1,0.5,0,0.4,0,5.5,3,3.6,13.6,1,6.1,0.019,0.1,0.2,0.8,0,0.6,0.5,0,0.1,0,0.9,5,0.2,0.2,0,0.3,0,2.3,0,0.4,0.1,0,0,0,0,0,0,0,0.89,0,0.1,0.1,1.1,1.8,0.1,0,0,0.4,0,0.7,1,0.1,0.3,0,3,0,9,0,0,11.6,0,0,0,0,62.3,10.7,11.8,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,1.4,0.5
"Gabon",4.7,0.3,0,0,0,0,0,0,9,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,1.9,0,1.7,0.0952,0.0048,29.7,0.2,1.1,0,0,0,0,0.7,0,0,0.2,0,0,0,0.5,0,0,0,0,0,0.4,0,0.5,0,0,0,1.1,0,0,0,0.9,0,0,0,0.1,9,0,1.8,0.3,0,0,0,0,0,0,0,9,0,0,0,0,0,0.11,0,0,0.1,0,0.1,0.6,0,9,0,0,0,0,0,0.1,0,4,0,9,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0
