"","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Monaco","Liechtenstein","Switzerland","Spain","Andorra","Portugal","Germany","Poland","Austria","Hungary","Czech Republic","Slovakia","Italy","San Marino","Malta","Albania","Macedonia","Croatia","Yugoslavia","Bosnia and Herzegovina","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Eritrea","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Fiji","Marshall Islands","Federated States of Micronesia","Samoa"
"Bolivia",65.4665,1.2877,0.0919,0.1943,0.0079,0.0111,0.0055,0.025,0.0053,0.0145,0,0.0019,0.0055,0,0.0276,4.9618,0,0.2228,0.0409,0.056,0.0078,0.1548,11.8114,26.6451,4.7857,0,0,4.6713,6.9506,129.0382,0,0.5189,75.416,6.8062,1.8457,47.5665,2.186,7.8062,0.6833,0.0467,21.6477,0,0,7.5679,33.3653,0,0.3086,29.9251,0.1351,0.6724,0.0638,9.9398,1.9734,14.4007,0,0.0188,0.3983,9,0.0114,0,10.6584,0.5321,0.0207,0.0963,0.0136,0,0.2489,3.9404,0.0002,0.046,0.0004,9,9.075,9,9.0104,9,0.7066,26.0485,0.0801,3.9277,0.0059,0,9.0264,9,0.0006,9,9,0.0111,0.0035,9.0024,9,0.0236,0.0012,9,0,0,0.0655,9,0.0042,0.0234,0,0,9.0101,0,9,9,0.089,0,0.0926,0,0,9,0.0005,0,0,0,0,0.01,9.0008,0.6357,9,0,0.0081,9,9,9,9,9,0.101,0.1278,0,0,0,0.2821,0.0848,0.0897,0.3965,0.1608,0,0.0074,1.3874,0.422,0.0001,0,9.0068,0.0073,0.0232,0.0258,9.031,0,9,0,0,0,4.0261,9,7.5643,0.5187,5.3706,122.5224,0.5596,9.0175,0.2672,0.0003,0.0321,0.1168,0,0,0.8068,9.0005,9,0.0048,4.0867,0.2855,9.13,0.1228,0.1123,0.3268,0,1.5218,9,9,0,0,0,9
"Paraguay",179.0547,6.7286,6.253,0.0374,0,0.081,0.0528,0,0.011,9,0.0004,9,0.0004,9,9,8.943,0,0.0101,0.095,0.1325,0.0308,0.116,26.9528,0.5881,3.6487,0,0.0006,0.4171,12.606,71.4505,0.5189,0,21.588,159.2886,14.434,52.7236,0.253,10.7115,52.7439,3.6061,4.9216,0,0,9.3069,73.5624,0,4.2363,24.6755,0.1257,0.2979,0.1969,0,0.2945,29.0816,0,0.0115,0,0,0,0,0,0.139,0.0409,0,0.0451,0,0.1276,0.1,0.0032,0,0,0,9.011,0,0,0,0.0318,4.4092,0.0966,1.0285,0.074,0,9,0,0,9,9,0.0836,0,0,9,0.0101,0,0.0359,0,0,0.0484,0,0,0.008,0.003,0,0,0.014,0.2259,9,0,0,0,9,9,9,0,0,0,0,0,0.0544,0,2.8274,0.0462,0,0,0,0.2069,9,0,9,0,45.1935,0.47,0,0,0.0109,0.1606,0,0.0035,0.0891,0.022,0,1.1078,0.3982,9,0.042,0,0,0,0.0025,0.0605,0,0,0,0,0,26.741,9,95.951,0,58.758,150.6414,4.5433,0,0.0137,0.1358,0,0.0187,0,0,0.5618,0,0,0,3.1464,6.7709,0,0.1265,0.4009,0.3034,0,0.0166,0,0,0,0,0,9
"Chile",775.7341,23.997,0.0059,4.7517,0.0682,12.3205,0.8294,10.4825,0.357,0.241,0.0135,0.093,0.0034,0,3,66.7772,0.052,4.892,2.206,4.884,0.409,8.7316,5.955,22.305,59.7996,2.436,0.3602,81.002,135.4395,542.1397,75.416,21.588,0,121.125,14.236,155.7988,20.009,143.2084,48.8876,3.3424,178.4673,0,0,86.0307,24.0952,0,3.9277,4.0083,2.816,5.8953,1.495,0,0.0874,44.0712,0,0.7373,0.005,1.45,0,0,0,0.273,21.592,0.824,0.9113,0,0.437,10.9,0.0202,0,0,9,10.57,0,0,0,37.0649,32.2883,26.2536,37.7301,1.2062,0,0,0,0.0715,0,0.0082,0.2833,0.0035,0.045,31.9969,0.1371,0.0292,0.0054,0.0055,0,0.3872,0.009,0.021,365.0569,97.173,0.0001,0,0.048,0.0341,0.0772,0.061,0.048,0.083,0,0,0.3003,0.079,0,28.7145,0.175,0.641,0.0841,0.4587,39.337,1.376,0.004,9,9,9.045,9,0.626,0,1.77,0.007,3.3354,2.5725,0.0065,92.974,17.116,0,0.6084,0.244,2.1821,0.2996,23.116,43.2452,0.9564,2.6846,1.3159,3.7283,37.148,5.982,0.098,9,9,0,0,0,69.207,0.001,222.292,0.2805,194.505,957.4448,12.0796,9,19.0745,4.66,0.065,2.572,9.0132,1.2949,56.3223,7.3398,0.018,3.362,38.303,53.3187,0,25.663,106.7371,61.6153,7.0477,22.2717,0.084,0,0.048,0,0,0.245
"Argentina",2561.0991,10.5922,0.2159,76.8004,1.4509,53.2691,3.0145,2.8684,0.778,0.377,0.0885,0.6874,0.2624,0.068,0.1122,39.5858,0.049,18.5223,1.306,6.623,6.757,3.8622,139.9922,167.629,196.3809,0.0693,0.0459,22.082,243.1754,478.2471,6.8062,159.2886,121.125,0,92.237,46.4719,8.2339,285.16,75.077,5.133,384.916,0,0,99.3783,96.5637,0,78.3552,74.0657,10.407,13.6313,2.837,38.3863,9.967,447.848,0,4.6909,0.005,0.326,0,0,0,12.843,54.378,15.317,10.8418,1.6,10.795,21.851,0.0817,9,0,0,3.753,0,0.002,0.2572,18.5964,88.2307,0.0712,119.9209,0.0693,0,0,0,0.0022,0.0154,0.0407,1.7141,1.344,13.6656,0,0.8987,0.7392,0.5609,9.1432,0.0165,1.2227,0.209,0.0703,8.1855,13.0633,0,0,1.684,6.6985,0,17.7803,2.4984,0,0,0,9,0,0,7.6527,3.4,0.025,22.4153,0,15.102,0,0,0,0,0.2247,0,13.0326,0,48.867,2.887,37.0501,14.7322,0.121,362.958,111.582,0,70.2525,42.9767,17.3085,11.7744,5.183,49.6543,4.0704,5.1964,0.7271,1.8681,10.198,10.86,0.2728,0,0.0196,0,9,0,5.07,0,110.617,0,459.59,173.1599,9.0055,0.078,46.2905,12.4859,0,1.6743,0.0002,0.0212,34.306,0,0,0.199,92.3482,165.3115,0.624,1.802,80.7406,0.2586,0,9.8274,0.0066,0,0.002,0,0,0
"Uruguay",52.641,18.8545,0.3267,0.2553,2.3848,1.7262,0.3729,0.0576,0.114,0,0.005,0.027,0.002,9,0,1.907,0,0.2181,0.021,0.787,0.023,0.096,19.5249,24.713,1.5179,0,0.009,5.474,39.6421,157.4875,1.8457,14.434,14.236,92.237,0,30.4575,0.3748,24.8903,0.1685,0.0115,23.3553,0,0,19.7943,40.8968,0,96.6198,29.3321,2.496,4.0486,0.304,9.814,0.3497,37.5389,0,0.5572,7.5322,9,0.498,0,0,1.665,0.49,0.0351,1.3707,9,2.282,11.536,0.022,0.0466,0.0418,0.3377,0.001,9,9.029,9,0.2358,4.3481,2.473,4.4384,0.0305,0,0,9,9,0,9,0,9,0,0,0.0249,0,0.054,0,0,0.046,0.4044,0.028,0.4202,0.6996,9,9,0.4768,0.0374,0,0.0108,0,0.003,0,9,0,9,0,0,0,0,0.019,0,5.358,0,0,0,0,0,0,0,0,5.185,0,0.0428,1.7424,0,6.734,0.009,0,0.1043,0,0.2237,0.0524,43.026,3.6692,0,0.1342,0.0517,0,0.877,0,0,0,0.729,0,9,9.0242,49.707,9,17.449,0.354,42.293,98.7245,6.0225,9,0.5193,1.442,9,1.0594,0,0,0.3587,0,0,0.081,2.6103,4.8064,0,0.764,1.4406,0.2362,0,1.4418,0,0,0,0,0,0
"United Kingdom",2249.449,1011.6756,30.0721,11.1332,15.4237,7.7631,89.7031,46.195,15.4271,23.5949,8.0632,42.8572,23.0546,22.7109,3.2064,399.1454,36.3106,12.0267,8.1394,5.5511,1.1208,30.5477,4.106,105.3279,106.3002,55.6442,15.6055,7.6538,136.895,741.3552,47.5665,52.7236,155.7988,46.4719,30.4575,0,449.8858,2227.3189,913.6162,62.4634,2188.342,0,0,2696.7695,1841.8945,0,97.9042,8561.506,410.0538,127.2231,91.8176,6.7447,84.0363,490.5596,0,195.1378,2.641,59.9908,43.6533,0,5.6713,0.9973,737.154,115.8438,25.1052,4.618,30.7228,580.3193,16.9735,84.0669,192.9653,102.1082,36.2802,7.9589,3.6493,5.017,1251.6615,1450.7557,4056.9021,666.2121,254.0938,0,5.6829,2.0628,2.0353,30.4439,13.2775,8.1268,10.1528,8.8731,1.3189,52.7375,17.4543,4.3102,15.8089,9.1333,247.8219,6.5422,2.3269,878.7705,27.2855,0.9186,1.1229,5.668,17.4287,38.6137,51.2702,141.5176,0.6509,2.6773,5.4801,34.1048,10.2454,0,12.9405,55.4774,57.1645,1.1804,2.6807,188.0534,26.221,2.1738,8.6226,58.7138,6.7015,0.7147,300.684,20.8811,89.6094,161.6812,81.1475,216.9579,62.8412,637.5615,747.3866,19.6728,52.877,47.1177,207.7429,151.7797,947.0628,1195.6449,122.4348,191.708,170.668,164.3367,1242.3724,218.3624,3.2739,21.9744,16.1458,0.2999,13.2365,58.7429,326.337,0.5771,1427.6211,9.3655,218.0617,7810.8267,176.2339,0.9186,33.4499,86.1772,18.2879,28.8584,7.8371,9.9595,96.799,4.0135,2.1103,21.8599,671.2304,193.9744,325.6324,34.753,269.7265,1159.4513,62.4492,184.1644,1.8459,0.7417,108.8232,0,0,0.7854
"Ireland",1199.1912,252.2817,2.595,4.8271,0.1577,26.8827,8.0639,12.36,2.4442,0.0107,0.5368,0.5811,0.2094,3.6893,0.2859,149.524,1.2185,4.9713,1.0541,1.932,1.2157,3.3426,5.798,1.75,6.9142,0.1662,0.1129,5.0841,2.4094,14.4537,2.186,0.253,20.009,8.2339,0.3748,449.8858,0,690.6536,788.2766,53.8939,1625.0424,0,0,324.1635,500.5598,0,64.5208,1713.8989,8.4109,156.1394,17.6606,22.1042,6.9347,715.8482,0,18.4595,0.0388,1.149,5.5562,0,1.0469,11.693,113.4033,8.9102,1.9883,5.251,12.6397,45.4187,1.4422,11.262,1.4101,6.2469,2.067,0,0.0057,4.8563,17.1265,41.4403,57.5901,12.0894,7.5635,0,0.2697,0.0509,0,0.3077,26.9089,2.3108,1.0052,0.4826,0.5822,0.3285,74.4886,0.6999,0.269,1.1319,14.6869,0.237,4.2626,52.8824,3.9274,0.1545,0.1164,1.0701,14.4256,3.526,10.1719,4.5614,0.0512,0.216,14.6989,0.942,4.0783,0,3.29,3.919,0.6913,3.3656,0.4808,52.8972,1.1053,0.0071,0.9616,0.883,0.9215,0.499,3.0062,0.6342,9.2581,10.6374,1.3519,33.7017,2.8127,34.1103,36.0825,6.1152,108.2816,4.4498,17.3581,9.8534,32.0634,98.7259,5.7196,27.8211,11.7831,6.6693,41.202,8.7798,1.5972,0.0368,0,0,0.0383,1.1481,281.3305,0.0014,139.5799,32.438,6.0743,127.55,20.471,9.0159,4.192,2.7087,0.8067,2.5849,0.0453,0.9624,5.0254,0.1583,0.0276,8.3533,115.8617,349.0479,0.8386,16.8608,37.2839,192.999,0.9268,16.3113,0.0226,0.0704,0.0419,0,0,0.0014
"Netherlands",4175.7764,105.4893,6.0197,30.587,13.2441,27.4334,27.8574,6.9688,2.095,1.6004,0.233,2.4387,1.4141,0.6264,0.2872,98.8905,5.4799,9.5983,9.795,4.1392,0.3847,48.9874,5.411,21.2043,103.4395,1.725,58.1121,27.772,52.3508,736.0081,7.8062,10.7115,143.2084,285.16,24.8903,2227.3189,690.6536,0,5153.18,352.3199,2470.891,0,0,1125.9237,795.7464,0,535.6418,2461.936,237.0653,320.5155,118.9102,158.8283,19.0344,4332.0805,0,32.7677,0.4303,11.5284,5.5241,0,10.3624,19.5409,1050.1909,48.5104,40.3002,9.3744,55.4834,556.5108,3.738,246.9394,68.0522,48.9083,7.558,0.1686,0.092,4.5544,523.7734,490.2717,719.6288,562.9886,41.1672,0,1.458,8.5302,0.2814,21.881,17.5456,19.9051,40.8397,45.1948,9.4942,182.1867,31.8949,17.4465,15.8023,11.6608,44.8002,18.3219,112.793,133.539,35.3918,1.2866,1.9741,38.3824,41.8383,1.1914,30.5949,16.5117,1.5886,8.0185,3.5832,16.9831,25.3672,0,37.2607,34.8569,8.5348,3.2032,6.3868,119.4142,1.6978,0.2473,3.5046,28.2725,5.3284,1.9703,30.3321,3.606,26.339,665.3825,9.3763,218.7252,18.6313,817.1086,263.7402,21.355,234.0407,105.9331,97.9242,71.6195,209.4411,1096.9708,115.0735,1209.7242,37.1065,33.353,253.9667,84.3237,3.3209,5.4761,115.3263,0.0431,14.9638,62.9506,916.3275,0.857,572.1208,18.9842,104.5616,3252.0665,95.2865,0,18.1943,22.2758,7.1459,58.7626,2.3149,0.1488,641.4175,0.9112,15.5125,34.0516,462.4054,55.3148,83.7042,29.5477,200.3079,121.0902,15.0517,60.8177,0.264,8.7894,3.4011,0,0,0.1027
"Belgium",408.4643,8.7798,27.4437,46.4165,7.4787,9.6502,2.5459,5.6816,2.2464,0.4212,0.0281,2.0031,0.3744,0.1966,0.0187,75.4795,0.0187,8.0403,2.7799,7.4693,4.0623,6.8796,8.8078,40.5384,114.2769,0.1778,7.7876,16.6047,27.4811,55.0185,0.6833,52.7439,48.8876,75.077,0.1685,913.6162,788.2766,5153.18,0,0,294.66,0,0,587.2309,996.1529,0,315.8083,4637.721,156.7155,604.0888,64.0509,138.2855,23.2036,1903.5371,0,5.1012,1.0764,7.7595,18.4861,7.694,0.131,8.9482,452.3997,14.7608,13.5721,2.3119,33.4622,713.8358,2.808,4.0997,17.4004,27.6496,8.63,7.6004,0.5054,1.7035,19.1039,473.918,728.3057,354.0256,1.3572,6.9826,1.2074,1.7691,4.5115,20.5079,16.1367,20.9665,2.9859,2.471,4.1652,15.6219,22.1553,9.7064,39.2561,12.3553,3.0327,4.3431,6.1589,92.468,8.1433,1.8252,2.3119,14.1056,295.8247,5.822,21.3129,31.8055,12.0838,17.7748,1.2449,5.0451,16.8481,0,29.1472,19.5157,63.9479,5.7939,0.337,138.1919,5.4756,0.3182,0.7207,6.7112,3.2199,2.0124,20.9946,0.3557,10.6704,300.2426,28.595,12.0745,8.059,98.2713,416.0172,16.2116,95.0233,127.3436,135.2716,77.3702,1972.4073,337.5799,96.2214,75.6574,29.1191,22.9789,159.72,20.0399,5.2136,0.8518,17.8683,7.0013,5.6067,6.786,156.2381,0.9079,59.9046,2.5366,151.0994,1684.866,1050.8817,0.0655,26.021,57.2087,0.5054,37.4121,0.5242,5.2416,101.7064,0.5522,0.2808,18.4112,28.6979,250.9806,40.398,1.7596,10.5301,83.6041,3.0046,21.0508,0.2059,0.5242,2.0405,0,0,0.1778
"Luxembourg",27.9264,0.6003,1.8763,3.1735,0.5113,0.6598,0.1741,0.3884,0.1536,0.0288,0.0019,0.1369,0.0256,0.0134,0.0013,5.1605,0.0013,0.5497,0.1901,0.5107,0.2777,0.4704,0.6022,2.7716,7.813,0.0122,0.5324,1.1353,1.8789,3.7616,0.0467,3.6061,3.3424,5.133,0.0115,62.4634,53.8939,352.3199,0,0,20.145,0,0,40.1486,68.1063,0,21.5916,317.078,10.7145,41.3012,4.3791,9.4545,1.5864,130.1436,0,0.3488,0.0736,0.5305,1.2639,0.526,0.009,0.6118,30.9303,1.0092,0.9279,0.1581,2.2878,48.8045,0.192,0.2803,1.1897,1.8904,0.59,0.5196,0.0346,0.1165,1.3061,32.4016,49.7938,24.2045,0.0928,0.4774,0.0826,0.1209,0.3085,1.4021,1.1033,1.4335,0.2041,0.1689,0.2848,1.0681,1.5147,0.6636,2.6839,0.8447,0.2073,0.2969,0.4211,6.322,0.5567,0.1248,0.1581,0.9644,20.2253,0.398,1.4571,2.1745,0.8262,1.2152,0.0851,0.3449,1.1519,0,1.9928,1.3343,4.3721,0.3961,0.023,9.4481,0.3744,0.0218,0.0493,0.4588,0.2201,0.1376,1.4354,0.0243,0.7295,20.5274,1.955,0.8255,0.551,6.7188,28.4428,1.1084,6.4967,8.7064,9.2484,5.2898,134.8522,23.0801,6.5786,5.1726,1.9909,1.5711,10.92,1.3701,0.3564,0.0582,1.2216,0.4787,0.3833,0.464,10.6819,0.0621,2.8394,0.1734,10.3306,115.1932,71.8482,0.0045,1.779,3.9113,0.0346,2.5578,0.0358,0.3584,6.9536,0.0378,0.0192,1.2588,1.9621,17.1594,2.762,0.1203,0.7199,5.7159,0.2054,1.4392,0.0141,0.0358,0.1395,0,0,0.0122
"France",1912.385,693.9463,287.804,99.4148,8.7791,26.0132,48.8448,9.3834,7.9154,1.6137,0.8442,7.6142,9.4513,1.0466,0.8289,704.4135,0.1599,4.2096,4.3176,6.6954,0.0047,91.1945,11.3434,35.0217,224.7414,8.6502,29.9849,32.9933,55.8913,673.1183,21.6477,4.9216,178.4673,384.916,23.3553,2188.342,1625.0424,2470.891,294.66,20.145,0,0,0,1666.896,2874.226,0,824.2754,1201.219,140.0312,344.7603,58.8778,94.1306,23.5451,108.072,0,58.9739,3.9413,16.9154,61.4881,0,4.1388,3.7889,927.6612,123.1866,6.1941,4.9341,222.7629,1786.0698,0.2355,54.2922,10.1372,27.0168,36.0362,0.3236,15.2134,4.526,515.093,565.6609,1695.1989,269.1237,87.4165,0,3.4646,6.1195,8.5058,28.9697,122.0286,219.9655,80.5124,79.2351,68.1946,36.124,123.9564,81.7527,19.9441,8.2735,34.6573,55.4527,81.6119,146.5087,9.2196,63.7143,53.8187,101.5764,14.125,4.3935,20.9987,3.4555,18.986,22.4846,1.8691,69.3234,0.6857,0,30.3842,41.0675,90.3589,25.9661,0.4166,165.661,2.2139,6.8636,8.504,24.8191,27.0176,49.575,68.8984,12.2504,346.825,866.1432,627.678,57.2112,64.0658,777.826,1134.5341,1.6388,247.8355,12.3808,426.9848,139.3938,115.4623,1510.6217,159.9876,716.2685,121.3748,57.7961,659.8637,94.5653,16.9046,38.3372,19.7118,0.6299,19.0743,37.2035,2124.3269,1.1697,608.0614,5.2047,226.9676,3147.0112,148.8771,0,35.5637,153.3319,4.461,75.3992,0.4297,6.03,109.8922,21.3918,11.8999,89.7331,266.1595,581.0628,19.754,63.7625,44.1967,510.3618,0.0014,1.5108,4.6664,0.3391,3.441,0,0,1.7933
"Monaco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Liechtenstein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Switzerland",2259.6594,362.7508,15.5232,6.6608,1.0532,6.8037,5.68,5.9646,4.7849,0.969,1.2173,1.0373,0.5528,0.6732,0.0678,510.9596,0.41,11.531,1.503,14.2735,1.7109,3.9667,107.7837,141.0463,83.0912,0.1215,2.3855,26.7142,43.8724,463.6725,7.5679,9.3069,86.0307,99.3783,19.7943,2696.7695,324.1635,1125.9237,587.2309,40.1486,1666.896,0,0,0,843.3188,0,158.8994,5199.007,255.8135,492.7592,224.3483,164.8829,53.2142,1645.1021,0,20.8064,5.7439,14.6096,48.6049,0,18.766,78.7857,336.5202,35.6278,59.4924,3.1881,131.8448,424.7917,2.7836,5.5799,3.3273,50.5824,51.0617,0.0976,0.0534,9.8464,14.1993,88.7411,138.7339,18.1909,24.9079,0,0.0192,0.1245,0.2063,0.949,1.5384,2.8329,1.9488,1.0086,0.2844,14.5299,2.1313,1.4037,1.8073,5.0172,6.3339,3.9041,5.4031,46.8599,3.6906,0.1463,0.6062,2.2438,7.0426,1.7508,1.2172,7.2818,4.85,2.6291,0.806,1.0171,11.424,0,23.6913,15.1658,2.9757,23.6485,2.9437,232.4692,0.0892,0.2456,5.7389,0.6604,1.248,0.2962,13.5167,0.8438,49.2934,42.1676,65.163,101.9905,13.3863,471.6694,504.678,19.8892,205.3601,23.9193,53.7173,28.8365,1331.9187,855.7552,6.429,79.6821,79.0971,26.5989,257.1277,26.0095,1.8514,2.1358,3.8997,0.3987,21.5446,11.7455,273.5946,1.8859,208.4916,2.7644,390.966,483.2969,238.2028,0.0166,184.0123,24.1391,3.5148,13.9566,0.5643,14.1266,224.9573,0.9315,0.3228,1.3884,495.0962,767.4242,1.4989,81.9147,266.2836,473.2392,0.9785,69.0238,0.3245,0.037,0.5415,0,0,0.001
"Spain",2420.1229,32.4239,179.4959,144.7056,2.5232,52.4641,3.338,28.4333,1.4677,1.2416,0.0911,0.0109,0.4763,0.275,0.011,259.517,4.4177,13.0282,33.5947,12.3942,3.2239,7.7678,7.1986,72.1135,92.9255,0.8219,6.0984,6.1203,18.8783,574.4942,33.3653,73.5624,24.0952,96.5637,40.8968,1841.8945,500.5598,795.7464,996.1529,68.1063,2874.226,0,0,843.3188,0,0,2102.42,4380.2335,114.731,175.1755,26.023,13.3372,6.4792,2491.9854,0,21.3741,0.7762,5.8091,0.7308,0,0.1008,33.9164,303.5719,42.8148,28.5572,4.6214,2.1063,815.0343,2.682,1.5371,48.7787,25.0572,1.1424,0.0477,0.2813,3.1672,479.0582,345.7416,26.7102,384.5745,50.7226,0,0.2074,11.7986,5.3638,2.0053,7.476,18.933,2.4238,2.9145,6.3506,59.0367,48.0157,2.3995,264.5363,12.4171,0.8172,3.969,278.2014,648.8765,10.8211,6.8021,1.0616,20.1292,4.8703,12.7102,6.0564,3.5345,2.2149,0.0802,0.242,1.2266,1.1007,0,59.0773,1.5813,0.232,7.837,6.7028,256.9141,81.235,0.0707,12.3212,0.3693,5.441,0.4322,27.7211,0.4723,295.2105,134.5068,87.4368,817.2321,0.7936,432.6175,181.2403,1.661,95.1834,235.4366,98.766,41.507,14.7125,739.5182,6.3516,20.6333,12.9066,12.9749,116.9907,10.9545,6.9432,10.121,3.7011,0.0079,19.299,1.6557,865.5961,0.0393,467.9538,1.1032,260.8572,2454.7312,195.7849,0,59.7163,25.5909,0.6208,17.5963,0.0293,0.5029,186.8544,1.115,0.3222,19.2785,175.3905,8.6125,2.285,28.3675,123.9459,62.8588,0.8345,24.661,22.5333,0.495,0.1022,0,0,0.0157
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portugal",65.6511,53.3703,1.1857,32.7327,0.0981,2.836,0.4245,0.9721,0.1316,3.8261,0.0194,0.0547,0.3357,0.1705,0,69.8751,0.093,3.3829,8.0043,0.7651,4.3355,12.1183,5.6338,47.1241,17.02,1.1773,0.4911,34.426,0.7221,266.7726,0.3086,4.2363,3.9277,78.3552,96.6198,97.9042,64.5208,535.6418,315.8083,21.5916,824.2754,0,0,158.8994,2102.42,0,0,645.1343,6.3587,81.9882,1.4939,8.5255,4.0761,1628.8582,0,5.5461,0.011,0.2038,2.4397,0,0.0405,1.4298,30.9896,5.9141,7.587,0.0632,0.0988,166.3962,1.4803,1.8763,2.6103,19.4947,2.1877,0,0.062,0.2904,33.3362,166.5912,97.2378,140.7095,14.0174,0,13.912,20.9268,3.1626,0.0443,11.5352,0.6419,18.9317,1.9273,1.943,20.7123,1.2143,6.0457,83.7926,0.018,2.1176,1.1022,35.9986,323.1911,10.8321,0.2067,19.7896,21.2069,18.0779,7.2091,2.4959,22.2938,1.6671,0.3704,0.0586,0.415,0.3965,0,374.9635,32.2018,0.4651,7.8025,0.1983,65.6074,1.5728,0.0159,0.0483,0.5245,6.5818,0.0056,1.5281,0.0697,18.8012,284.1048,0.5444,158.4274,0.8074,57.1907,0.1582,0.2089,86.3634,20.9116,9.7821,1.9781,113.4549,179.0473,0.7227,3.5369,1.2342,0.4662,16.5539,1.2376,0.0316,3.5055,0.814,0.0016,8.9209,0.7763,146.6178,0.0053,76.0902,0.0346,59.4854,607.2469,63.1994,0.1011,53.5194,1.4275,0.1163,1.4907,0.0123,0.9131,93.9043,0.3007,0.0697,0.51,21.056,25.2793,0.0229,9.463,26.9278,17.1013,0.3227,1.6622,0.3387,0.015,0.0923,0,0,0.003
